Year,GEO,After-tax income#Economic families#Median income#2018 constant dollars#units#11100237_StatsCanada
1976,Alberta,69300
1976,Atlantic provinces,52900
1976,British Columbia,69600
1976,"Calgary, Alberta",78100
1976,Canada,63800
1976,"Edmonton, Alberta",72400
1976,Manitoba,57600
1976,"Montréal, Quebec",62200
1976,New Brunswick,53900
1976,Newfoundland and Labrador,50100
1976,Nova Scotia,53600
1976,Ontario,67400
1976,"Ottawa-Gatineau, Ontario/Quebec",80600
1976,Prairie provinces,63800
1976,Prince Edward Island,53600
1976,Quebec,60500
1976,"Québec, Quebec",71100
1976,Saskatchewan,60100
1976,"Toronto, Ontario",73600
1976,"Vancouver, British Columbia",74600
1976,"Winnipeg, Manitoba",62200
1977,Alberta,71000
1977,Atlantic provinces,54100
1977,British Columbia,69800
1977,"Calgary, Alberta",73900
1977,Canada,64600
1977,"Edmonton, Alberta",76100
1977,Manitoba,59500
1977,"Montréal, Quebec",64700
1977,New Brunswick,54400
1977,Newfoundland and Labrador,52900
1977,Nova Scotia,54800
1977,Ontario,68600
1977,"Ottawa-Gatineau, Ontario/Quebec",83000
1977,Prairie provinces,64700
1977,Prince Edward Island,53400
1977,Quebec,60900
1977,"Québec, Quebec",65600
1977,Saskatchewan,58900
1977,"Toronto, Ontario",73800
1977,"Vancouver, British Columbia",72300
1977,"Winnipeg, Manitoba",65900
1978,Alberta,70200
1978,Atlantic provinces,55300
1978,British Columbia,69600
1978,"Calgary, Alberta",71900
1978,Canada,65300
1978,"Edmonton, Alberta",76800
1978,Manitoba,59800
1978,"Montréal, Quebec",65200
1978,New Brunswick,57200
1978,Newfoundland and Labrador,53200
1978,Nova Scotia,55400
1978,Ontario,68900
1978,"Ottawa-Gatineau, Ontario/Quebec",76000
1978,Prairie provinces,65800
1978,Prince Edward Island,53900
1978,Quebec,61900
1978,"Québec, Quebec",66400
1978,Saskatchewan,60100
1978,"Toronto, Ontario",75700
1978,"Vancouver, British Columbia",77100
1978,"Winnipeg, Manitoba",61200
1979,Alberta,70300
1979,Atlantic provinces,54900
1979,British Columbia,71200
1979,"Calgary, Alberta",73500
1979,Canada,65000
1979,"Edmonton, Alberta",74200
1979,Manitoba,61400
1979,"Montréal, Quebec",62800
1979,New Brunswick,55000
1979,Newfoundland and Labrador,53700
1979,Nova Scotia,55500
1979,Ontario,68900
1979,"Ottawa-Gatineau, Ontario/Quebec",72500
1979,Prairie provinces,66000
1979,Prince Edward Island,53700
1979,Quebec,60100
1979,"Québec, Quebec",66000
1979,Saskatchewan,60600
1979,"Toronto, Ontario",75200
1979,"Vancouver, British Columbia",73900
1979,"Winnipeg, Manitoba",66600
1980,Alberta,74800
1980,Atlantic provinces,52900
1980,British Columbia,74200
1980,"Calgary, Alberta",77300
1980,Canada,66300
1980,"Edmonton, Alberta",77800
1980,Manitoba,64400
1980,"Montréal, Quebec",64000
1980,New Brunswick,52700
1980,Newfoundland and Labrador,50200
1980,Nova Scotia,54000
1980,Ontario,69900
1980,"Ottawa-Gatineau, Ontario/Quebec",73600
1980,Prairie provinces,68800
1980,Prince Edward Island,57700
1980,Quebec,61500
1980,"Québec, Quebec",70700
1980,Saskatchewan,62600
1980,"Toronto, Ontario",77400
1980,"Vancouver, British Columbia",80000
1980,"Winnipeg, Manitoba",69900
1981,Alberta,74000
1981,Atlantic provinces,54000
1981,British Columbia,72100
1981,"Calgary, Alberta",79500
1981,Canada,65100
1981,"Edmonton, Alberta",79000
1981,Manitoba,61100
1981,"Montréal, Quebec",64300
1981,New Brunswick,52800
1981,Newfoundland and Labrador,55900
1981,Nova Scotia,54300
1981,Ontario,69100
1981,"Ottawa-Gatineau, Ontario/Quebec",73500
1981,Prairie provinces,67600
1981,Prince Edward Island,51700
1981,Quebec,59600
1981,"Québec, Quebec",67300
1981,Saskatchewan,61800
1981,"Toronto, Ontario",75100
1981,"Vancouver, British Columbia",78200
1981,"Winnipeg, Manitoba",63200
1982,Alberta,74700
1982,Atlantic provinces,52000
1982,British Columbia,67000
1982,"Calgary, Alberta",81800
1982,Canada,62800
1982,"Edmonton, Alberta",75200
1982,Manitoba,59400
1982,"Montréal, Quebec",62200
1982,New Brunswick,51000
1982,Newfoundland and Labrador,52800
1982,Nova Scotia,52400
1982,Ontario,65900
1982,"Ottawa-Gatineau, Ontario/Quebec",75400
1982,Prairie provinces,67400
1982,Prince Edward Island,50000
1982,Quebec,58300
1982,"Québec, Quebec",57900
1982,Saskatchewan,60500
1982,"Toronto, Ontario",71800
1982,"Vancouver, British Columbia",71500
1982,"Winnipeg, Manitoba",63800
1983,Alberta,67300
1983,Atlantic provinces,50100
1983,British Columbia,65200
1983,"Calgary, Alberta",78900
1983,Canada,61100
1983,"Edmonton, Alberta",66300
1983,Manitoba,61900
1983,"Montréal, Quebec",59800
1983,New Brunswick,49900
1983,Newfoundland and Labrador,46200
1983,Nova Scotia,51200
1983,Ontario,64800
1983,"Ottawa-Gatineau, Ontario/Quebec",69700
1983,Prairie provinces,64500
1983,Prince Edward Island,52800
1983,Quebec,56800
1983,"Québec, Quebec",57700
1983,Saskatchewan,60100
1983,"Toronto, Ontario",69900
1983,"Vancouver, British Columbia",73200
1983,"Winnipeg, Manitoba",66700
1984,Alberta,65500
1984,Atlantic provinces,52900
1984,British Columbia,63200
1984,"Calgary, Alberta",69500
1984,Canada,61900
1984,"Edmonton, Alberta",64700
1984,Manitoba,61200
1984,"Montréal, Quebec",63100
1984,New Brunswick,53800
1984,Newfoundland and Labrador,48700
1984,Nova Scotia,54700
1984,Ontario,65900
1984,"Ottawa-Gatineau, Ontario/Quebec",72200
1984,Prairie provinces,63000
1984,Prince Edward Island,54000
1984,Quebec,58100
1984,"Québec, Quebec",60000
1984,Saskatchewan,57600
1984,"Toronto, Ontario",69200
1984,"Vancouver, British Columbia",70200
1984,"Winnipeg, Manitoba",65900
1985,Alberta,67700
1985,Atlantic provinces,52900
1985,British Columbia,63700
1985,"Calgary, Alberta",74100
1985,Canada,62700
1985,"Edmonton, Alberta",67900
1985,Manitoba,59500
1985,"Montréal, Quebec",62600
1985,New Brunswick,53000
1985,Newfoundland and Labrador,48200
1985,Nova Scotia,55600
1985,Ontario,68200
1985,"Ottawa-Gatineau, Ontario/Quebec",73300
1985,Prairie provinces,63300
1985,Prince Edward Island,52900
1985,Quebec,58100
1985,"Québec, Quebec",58700
1985,Saskatchewan,59200
1985,"Toronto, Ontario",72900
1985,"Vancouver, British Columbia",70700
1985,"Winnipeg, Manitoba",61800
1986,Alberta,67100
1986,Atlantic provinces,52200
1986,British Columbia,63400
1986,"Calgary, Alberta",74300
1986,Canada,63000
1986,"Edmonton, Alberta",69500
1986,Manitoba,59000
1986,"Montréal, Quebec",61500
1986,New Brunswick,53500
1986,Newfoundland and Labrador,47800
1986,Nova Scotia,53900
1986,Ontario,69600
1986,"Ottawa-Gatineau, Ontario/Quebec",81700
1986,Prairie provinces,62500
1986,Prince Edward Island,52100
1986,Quebec,57100
1986,"Québec, Quebec",61600
1986,Saskatchewan,55800
1986,"Toronto, Ontario",74000
1986,"Vancouver, British Columbia",67700
1986,"Winnipeg, Manitoba",62700
1987,Alberta,64500
1987,Atlantic provinces,54200
1987,British Columbia,62200
1987,"Calgary, Alberta",68700
1987,Canada,62800
1987,"Edmonton, Alberta",67400
1987,Manitoba,59000
1987,"Montréal, Quebec",60300
1987,New Brunswick,53000
1987,Newfoundland and Labrador,50700
1987,Nova Scotia,57200
1987,Ontario,70000
1987,"Ottawa-Gatineau, Ontario/Quebec",71700
1987,Prairie provinces,61400
1987,Prince Edward Island,54600
1987,Quebec,56800
1987,"Québec, Quebec",60000
1987,Saskatchewan,57500
1987,"Toronto, Ontario",76900
1987,"Vancouver, British Columbia",68300
1987,"Winnipeg, Manitoba",62500
1988,Alberta,66300
1988,Atlantic provinces,55000
1988,British Columbia,66300
1988,"Calgary, Alberta",71400
1988,Canada,64600
1988,"Edmonton, Alberta",68600
1988,Manitoba,58500
1988,"Montréal, Quebec",59300
1988,New Brunswick,53600
1988,Newfoundland and Labrador,53400
1988,Nova Scotia,57800
1988,Ontario,73200
1988,"Ottawa-Gatineau, Ontario/Quebec",80800
1988,Prairie provinces,62500
1988,Prince Edward Island,52300
1988,Quebec,57500
1988,"Québec, Quebec",58100
1988,Saskatchewan,56200
1988,"Toronto, Ontario",79900
