Year,GEO,65 years and over#Females#Government transfers#Median income (excluding zeros)#2018 constant dollars#units#11100239_StatsCanada
1976,Alberta,10900
1976,Atlantic provinces,10900
1976,British Columbia,8600
1976,"Calgary, Alberta",
1976,Canada,9000
1976,"Edmonton, Alberta",
1976,Manitoba,8500
1976,"Montréal, Quebec",9900
1976,New Brunswick,11100
1976,Newfoundland and Labrador,11400
1976,Nova Scotia,10500
1976,Ontario,7500
1976,"Ottawa-Gatineau, Ontario/Quebec",7800
1976,Prairie provinces,9500
1976,Prince Edward Island,
1976,Quebec,10200
1976,"Québec, Quebec",9700
1976,Saskatchewan,8700
1976,"Toronto, Ontario",7300
1976,"Vancouver, British Columbia",7600
1976,"Winnipeg, Manitoba",7500
1977,Alberta,10400
1977,Atlantic provinces,11300
1977,British Columbia,9800
1977,"Calgary, Alberta",10600
1977,Canada,9400
1977,"Edmonton, Alberta",10500
1977,Manitoba,8900
1977,"Montréal, Quebec",10200
1977,New Brunswick,11300
1977,Newfoundland and Labrador,11400
1977,Nova Scotia,11300
1977,Ontario,8300
1977,"Ottawa-Gatineau, Ontario/Quebec",7300
1977,Prairie provinces,9600
1977,Prince Edward Island,11200
1977,Quebec,10400
1977,"Québec, Quebec",10100
1977,Saskatchewan,9300
1977,"Toronto, Ontario",8300
1977,"Vancouver, British Columbia",9500
1977,"Winnipeg, Manitoba",9200
1978,Alberta,10500
1978,Atlantic provinces,10700
1978,British Columbia,10000
1978,"Calgary, Alberta",11300
1978,Canada,9400
1978,"Edmonton, Alberta",9500
1978,Manitoba,7600
1978,"Montréal, Quebec",11200
1978,New Brunswick,9500
1978,Newfoundland and Labrador,10900
1978,Nova Scotia,11300
1978,Ontario,8700
1978,"Ottawa-Gatineau, Ontario/Quebec",8700
1978,Prairie provinces,8700
1978,Prince Edward Island,
1978,Quebec,10700
1978,"Québec, Quebec",11800
1978,Saskatchewan,8300
1978,"Toronto, Ontario",9700
1978,"Vancouver, British Columbia",11000
1978,"Winnipeg, Manitoba",7700
1979,Alberta,11600
1979,Atlantic provinces,11600
1979,British Columbia,10500
1979,"Calgary, Alberta",13400
1979,Canada,11000
1979,"Edmonton, Alberta",11600
1979,Manitoba,10400
1979,"Montréal, Quebec",11100
1979,New Brunswick,11500
1979,Newfoundland and Labrador,11900
1979,Nova Scotia,11600
1979,Ontario,10600
1979,"Ottawa-Gatineau, Ontario/Quebec",11300
1979,Prairie provinces,11000
1979,Prince Edward Island,11600
1979,Quebec,11100
1979,"Québec, Quebec",11600
1979,Saskatchewan,10700
1979,"Toronto, Ontario",10100
1979,"Vancouver, British Columbia",11500
1979,"Winnipeg, Manitoba",9700
1980,Alberta,11600
1980,Atlantic provinces,11900
1980,British Columbia,9400
1980,"Calgary, Alberta",7700
1980,Canada,11100
1980,"Edmonton, Alberta",12400
1980,Manitoba,10700
1980,"Montréal, Quebec",12700
1980,New Brunswick,11900
1980,Newfoundland and Labrador,11900
1980,Nova Scotia,12200
1980,Ontario,10200
1980,"Ottawa-Gatineau, Ontario/Quebec",8400
1980,Prairie provinces,10900
1980,Prince Edward Island,11900
1980,Quebec,11900
1980,"Québec, Quebec",10100
1980,Saskatchewan,10000
1980,"Toronto, Ontario",10900
1980,"Vancouver, British Columbia",9200
1980,"Winnipeg, Manitoba",10900
1981,Alberta,12500
1981,Atlantic provinces,12100
1981,British Columbia,9700
1981,"Calgary, Alberta",11600
1981,Canada,11500
1981,"Edmonton, Alberta",12500
1981,Manitoba,11100
1981,"Montréal, Quebec",12300
1981,New Brunswick,11500
1981,Newfoundland and Labrador,12200
1981,Nova Scotia,12100
1981,Ontario,11200
1981,"Ottawa-Gatineau, Ontario/Quebec",12800
1981,Prairie provinces,11500
1981,Prince Edward Island,12600
1981,Quebec,12100
1981,"Québec, Quebec",13200
1981,Saskatchewan,11300
1981,"Toronto, Ontario",11500
1981,"Vancouver, British Columbia",9200
1981,"Winnipeg, Manitoba",11200
1982,Alberta,12400
1982,Atlantic provinces,12300
1982,British Columbia,11700
1982,"Calgary, Alberta",11500
1982,Canada,11900
1982,"Edmonton, Alberta",12200
1982,Manitoba,11800
1982,"Montréal, Quebec",12200
1982,New Brunswick,12200
1982,Newfoundland and Labrador,12200
1982,Nova Scotia,12600
1982,Ontario,11200
1982,"Ottawa-Gatineau, Ontario/Quebec",11900
1982,Prairie provinces,11800
1982,Prince Edward Island,12300
1982,Quebec,12200
1982,"Québec, Quebec",12200
1982,Saskatchewan,11100
1982,"Toronto, Ontario",12300
1982,"Vancouver, British Columbia",12400
1982,"Winnipeg, Manitoba",11700
1983,Alberta,13500
1983,Atlantic provinces,12800
1983,British Columbia,13200
1983,"Calgary, Alberta",15700
1983,Canada,12400
1983,"Edmonton, Alberta",14400
1983,Manitoba,12200
1983,"Montréal, Quebec",12900
1983,New Brunswick,12900
1983,Newfoundland and Labrador,12600
1983,Nova Scotia,12600
1983,Ontario,11800
1983,"Ottawa-Gatineau, Ontario/Quebec",12600
1983,Prairie provinces,12400
1983,Prince Edward Island,12800
1983,Quebec,12700
1983,"Québec, Quebec",12400
1983,Saskatchewan,11800
1983,"Toronto, Ontario",12100
1983,"Vancouver, British Columbia",12300
