Year,GEO,RATE_Not in labour force#Persons#thousands#14100090_StatsCanada
2001,"Abitibi-Témiscamingue, Quebec",44.5
2001,Alberta,652.8
2001,"Annapolis Valley, Nova Scotia",38.3
2001,"Avalon Peninsula, Newfoundland and Labrador",79.0
2001,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",61.2
2001,"Bas-Saint-Laurent, Quebec",67.9
2001,British Columbia,1171.1
2001,"Calgary, Alberta",204.0
2001,"Campbellton-Miramichi, New Brunswick",62.0
2001,"Camrose-Drumheller, Alberta",45.8
2001,Canada,8325.3
2001,"Cape Breton, Nova Scotia",55.9
2001,"Capitale-Nationale, Quebec",202.2
2001,"Cariboo, British Columbia",41.8
2001,"Centre-du-Québec, Quebec",67.6
2001,"Chaudière-Appalaches, Quebec",111.3
2001,"Côte-Nord and Nord-du-Québec, Quebec",34.9
2001,"Edmonton, Alberta",232.2
2001,"Edmundston-Woodstock, New Brunswick",26.6
2001,"Estrie, Quebec",87.0
2001,"Fredericton-Oromocto, New Brunswick",34.9
2001,"Gaspésie-Îles-de-la-Madeleine, Quebec",39.2
2001,"Halifax, Nova Scotia",88.9
2001,"Hamilton-Niagara Peninsula, Ontario",356.9
2001,"Interlake, Manitoba",21.8
2001,"Kingston-Pembroke, Ontario",136.0
2001,"Kitchener-Waterloo-Barrie, Ontario",261.6
2001,"Kootenay, British Columbia",44.5
2001,"Lanaudière, Quebec",115.8
2001,"Laurentides, Quebec",121.7
2001,"Laval, Quebec",98.5
2001,"Lethbridge-Medicine Hat, Alberta",61.0
2001,"London, Ontario",154.6
2001,"Lower Mainland-Southwest, British Columbia",669.1
2001,Manitoba,276.0
2001,"Mauricie, Quebec",90.2
2001,"Moncton-Richibucto, New Brunswick",52.6
2001,"Montréal, Quebec",564.1
2001,"Montérégie, Quebec",341.4
2001,"Muskoka-Kawarthas, Ontario",121.2
2001,New Brunswick,228.6
2001,Newfoundland and Labrador,184.2
2001,"North Coast and Nechako, British Columbia",20.5
2001,"North Shore, Nova Scotia",54.0
2001,"Northeast, British Columbia",12.5
2001,"Northeast, Ontario",178.6
2001,Northwest Territories,6.6
2001,"Northwest, Ontario",61.5
2001,Nova Scotia,281.9
2001,Nunavut,
2001,Ontario,3076.9
2001,"Ottawa, Ontario",289.4
2001,"Outaouais, Quebec",84.3
2001,"Parklands and Northern, Manitoba",22.1
2001,"Prince Albert and Northern, Saskatchewan",53.8
2001,Prince Edward Island,35.4
2001,Quebec,2163.2
2001,"Red Deer, Alberta",30.7
2001,"Regina-Moose Mountain, Saskatchewan",65.9
2001,"Saguenay-Lac-Saint-Jean, Quebec",92.5
2001,"Saint John-St. Stephen, New Brunswick",52.5
2001,Saskatchewan,255.1
