Year,GEO,"RATE_Information, culture and recreation [51, 71]#Persons#thousands#14100092_StatsCanada","RATE_Business, building and other support services [55-56]#Persons#thousands#14100092_StatsCanada",RATE_Utilities [22]#Persons#thousands#14100092_StatsCanada,"RATE_Professional, scientific and technical services [54]#Persons#thousands#14100092_StatsCanada"
2001,"Abitibi-Témiscamingue, Quebec",,,,1.6
2001,Alberta,66.3,47.3,13.3,124.7
2001,"Annapolis Valley, Nova Scotia",1.3,1.3,,1.6
2001,"Avalon Peninsula, Newfoundland and Labrador",4.9,3.8,1.6,5.7
2001,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",3.1,4.9,,5.2
2001,"Bas-Saint-Laurent, Quebec",4.5,1.5,,2.5
2001,British Columbia,103.7,70.5,10.6,139.2
2001,"Calgary, Alberta",33.1,20.7,5.4,73.1
2001,"Campbellton-Miramichi, New Brunswick",2.2,1.2,0.9,1.5
2001,"Camrose-Drumheller, Alberta",1.8,2.3,,2.2
2001,Canada,710,532.9,122.8,988.1
2001,"Cape Breton, Nova Scotia",2.5,2.6,0.7,1.2
2001,"Capitale-Nationale, Quebec",13.4,11.6,1.9,21.1
2001,"Cariboo, British Columbia",2.5,2.2,,2.4
2001,"Centre-du-Québec, Quebec",2.1,1.8,,3.4
2001,"Chaudière-Appalaches, Quebec",3.2,4.2,,7
2001,"Côte-Nord and Nord-du-Québec, Quebec",,,1.7,
2001,"Edmonton, Alberta",20.9,13.2,4.3,36.3
2001,"Edmundston-Woodstock, New Brunswick",1,,,0.6
2001,"Estrie, Quebec",3.1,3.6,,4.5
2001,"Fredericton-Oromocto, New Brunswick",1.6,3.3,1.2,3.9
2001,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,
2001,"Halifax, Nova Scotia",11.2,9.1,0.9,12.4
2001,"Hamilton-Niagara Peninsula, Ontario",28.2,25.7,4.7,30.2
2001,"Interlake, Manitoba",2.1,1.3,,0.9
2001,"Kingston-Pembroke, Ontario",7.3,7.6,2.7,8.9
2001,"Kitchener-Waterloo-Barrie, Ontario",22.5,21.3,3.9,28.1
2001,"Kootenay, British Columbia",2.9,,,3.6
2001,"Lanaudière, Quebec",5.1,6.1,1.5,8.7
2001,"Laurentides, Quebec",11,7.3,2.8,11.7
2001,"Laval, Quebec",5.8,5.7,2.2,10.3
2001,"Lethbridge-Medicine Hat, Alberta",3.1,3.1,,4.5
2001,"London, Ontario",10.9,12.3,1.5,14.4
2001,"Lower Mainland-Southwest, British Columbia",71.3,46.2,6.2,102
2001,Manitoba,22.5,16.2,6.3,23.5
2001,"Mauricie, Quebec",3.6,2.8,1.6,2.8
2001,"Moncton-Richibucto, New Brunswick",3.8,5.2,,3.6
2001,"Montréal, Quebec",63.2,36.4,5.1,77.6
2001,"Montérégie, Quebec",27.7,14.9,5.9,39.5
2001,"Muskoka-Kawarthas, Ontario",6.1,5,1.8,6.1
2001,New Brunswick,11.9,15.5,4.7,12.9
2001,Newfoundland and Labrador,7.5,6,2.4,6.9
2001,"North Coast and Nechako, British Columbia",,1.7,,1.5
2001,"North Shore, Nova Scotia",1.7,2.2,,1.7
2001,"Northeast, British Columbia",,,,
2001,"Northeast, Ontario",9.7,10.3,2.6,9
2001,"Northwest, Ontario",3.4,3.2,,2.9
2001,Nova Scotia,17.9,17.1,2.7,17.8
2001,Ontario,301.7,238.2,50.1,438.7
2001,"Ottawa, Ontario",31.4,21.8,1.7,57.7
2001,"Outaouais, Quebec",9.3,7.9,,7.4
2001,"Parklands and North, Manitoba",0.9,0.7,,0.6
2001,"Prince Albert and Northern, Saskatchewan",2.8,1.6,0.7,2.1
2001,Prince Edward Island,2.7,1.9,,2.4
2001,Quebec,158.2,110,29.2,204.4
2001,"Red Deer, Alberta",2.8,1.9,,2.3
2001,"Regina-Moose Mountain, Saskatchewan",7.6,3.5,1.8,7.3
2001,"Saguenay-Lac-Saint-Jean, Quebec",3.1,3.2,,4.9
2001,"Saint John-St. Stephen, New Brunswick",3.5,5.4,1.8,3.3
2001,Saskatchewan,17.6,10.1,3.4,17.6
2001,"Saskatoon-Biggar, Saskatchewan",5.4,3.4,0.5,6
2001,"South Central and North Central, Manitoba",1.3,0.7,,1.1
2001,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.2,1.1,,0.6
2001,"Southeast, Manitoba",1.3,0.9,0.9,1.2
2001,"Southern, Nova Scotia",1.2,1.9,,1
2001,"Southwest, Manitoba",1.7,0.9,0.6,1.6
2001,"Stratford-Bruce Peninsula, Ontario",3.3,3.9,5.7,5.1
2001,"Swift Current-Moose Jaw, Saskatchewan",1.4,1.1,,1.3
2001,"Thompson-Okanagan, British Columbia",7.9,6.7,1.5,9.5
2001,"Toronto, Ontario",162.8,117.2,20.8,265.5
2001,"Vancouver Island and Coast, British Columbia",17.2,11.7,1.6,18.8
2001,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.4,1.1,,0.6
2001,"Windsor-Sarnia, Ontario",16.1,10,3.2,10.8
2001,"Winnipeg, Manitoba",15.2,11.7,3.8,18.2
2001,"Wood Buffalo-Cold Lake, Alberta",1.5,,,
2001,"Yorkton-Melville, Saskatchewan",0.5,0.6,,0.9
2002,"Abitibi-Témiscamingue, Quebec",2,,,
2002,Alberta,69.6,54.7,17.1,124.3
2002,"Annapolis Valley, Nova Scotia",1.6,1.8,,1.7
2002,"Avalon Peninsula, Newfoundland and Labrador",4.5,5.5,1.1,6.2
2002,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",4,4.2,,5.5
2002,"Bas-Saint-Laurent, Quebec",3.1,1.5,,2.4
2002,British Columbia,105,71.8,10.9,134
2002,"Calgary, Alberta",32.7,24.1,8.4,66
2002,"Campbellton-Miramichi, New Brunswick",1.9,1.9,0.9,2.1
2002,"Camrose-Drumheller, Alberta",2.3,,,2.9
2002,Canada,712.6,581.8,131.1,987.2
2002,"Cape Breton, Nova Scotia",1.1,4.7,0.8,1.2
2002,"Capitale-Nationale, Quebec",12.8,13.7,1.5,19.4
2002,"Cariboo, British Columbia",2.5,1.7,,2.7
2002,"Centre-du-Québec, Quebec",2,2.2,,2.8
2002,"Chaudière-Appalaches, Quebec",3.7,3.8,,6.3
2002,"Côte-Nord and Nord-du-Québec, Quebec",,,1.7,
2002,"Edmonton, Alberta",21.9,18.5,4.8,38.3
2002,"Edmundston-Woodstock, New Brunswick",0.9,0.7,,1.1
2002,"Estrie, Quebec",3.4,4.3,,6.4
2002,"Fredericton-Oromocto, New Brunswick",2.3,3.6,1.8,3.9
2002,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,
2002,"Halifax, Nova Scotia",11.8,11,1.1,11.2
2002,"Hamilton-Niagara Peninsula, Ontario",31.3,25.7,4,31.1
2002,"Interlake, Manitoba",1.8,0.9,0.7,1.1
2002,"Kingston-Pembroke, Ontario",7,8.9,1.7,8.5
2002,"Kitchener-Waterloo-Barrie, Ontario",23,24.7,3.3,28
2002,"Kootenay, British Columbia",2.4,1.6,,3.1
2002,"Lanaudière, Quebec",5.2,5.8,1.7,7.7
2002,"Laurentides, Quebec",8.7,7,2.1,12.7
2002,"Laval, Quebec",7,6,2.6,9.9
2002,"Lethbridge-Medicine Hat, Alberta",3.3,2.8,1.6,5.2
2002,"London, Ontario",10,12.6,2.1,16.5
2002,"Lower Mainland-Southwest, British Columbia",76,45.1,5.7,100.6
2002,Manitoba,23.9,18.6,6.4,24.1
2002,"Mauricie, Quebec",3.2,3,1.7,3.5
2002,"Moncton-Richibucto, New Brunswick",4.3,6.1,0.5,4
2002,"Montréal, Quebec",67.4,44,6.6,81.6
2002,"Montérégie, Quebec",25.1,21.5,6.3,38.4
2002,"Muskoka-Kawarthas, Ontario",9.3,4,1.9,4.4
2002,New Brunswick,12.8,19.6,4.9,14.8
2002,Newfoundland and Labrador,7.2,8.3,2.4,7.7
2002,"North Coast and Nechako, British Columbia",1.5,,,
2002,"North Shore, Nova Scotia",1.7,2.1,,2.1
2002,"Northeast, British Columbia",,,,
2002,"Northeast, Ontario",9.9,8.2,2.7,9.1
2002,"Northwest, Ontario",4.4,3.5,,3.9
2002,Nova Scotia,17.7,21.1,2.7,17.1
2002,Ontario,298.5,247.8,52.1,438.3
2002,"Ottawa, Ontario",33.5,21.4,2.4,55
2002,"Outaouais, Quebec",8.5,6.9,,7.5
2002,"Parklands and North, Manitoba",1.1,,,0.6
2002,"Prince Albert and Northern, Saskatchewan",2.8,1.5,0.6,2.1
2002,Prince Edward Island,2.9,2.4,0.3,2.6
2002,Quebec,157.3,125.7,30.2,207
2002,"Red Deer, Alberta",4.4,2.4,,3.9
2002,"Regina-Moose Mountain, Saskatchewan",7.4,4.6,1.8,6.5
2002,"Saguenay-Lac-Saint-Jean, Quebec",3,3.1,,5.2
2002,"Saint John-St. Stephen, New Brunswick",3.5,7.3,1.5,3.8
2002,Saskatchewan,17.7,11.8,3.9,17.4
2002,"Saskatoon-Biggar, Saskatchewan",4.9,4,1,6.7
2002,"South Central and North Central, Manitoba",1.2,1,,0.8
2002,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.4,1.5,0.8,0.8
2002,"Southeast, Manitoba",1.2,0.9,1,1
2002,"Southern, Nova Scotia",1.5,1.6,,0.9
2002,"Southwest, Manitoba",1.4,1.2,0.5,1.3
2002,"Stratford-Bruce Peninsula, Ontario",4.1,2.9,7.7,4.4
2002,"Swift Current-Moose Jaw, Saskatchewan",1.4,1.2,,1.6
2002,"Thompson-Okanagan, British Columbia",6.8,8.5,1.8,8.4
2002,"Toronto, Ontario",151.6,125.7,22.6,266.4
2002,"Vancouver Island and Coast, British Columbia",15.1,12.7,,16.7
2002,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.4,1.3,0.5,0.7
2002,"Windsor-Sarnia, Ontario",14.5,10.3,2.9,10.9
2002,"Winnipeg, Manitoba",17.2,14.3,3.6,19.3
2002,"Wood Buffalo-Cold Lake, Alberta",,1.5,,2.5
2002,"Yorkton-Melville, Saskatchewan",1.2,0.5,,
2003,"Abitibi-Témiscamingue, Quebec",2,1.6,,1.7
2003,Alberta,74.1,62.8,14,119.8
2003,"Annapolis Valley, Nova Scotia",1.2,1.7,,1.8
2003,"Avalon Peninsula, Newfoundland and Labrador",4.6,4.6,1.3,5.7
2003,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",3.9,4,,5.6
2003,"Bas-Saint-Laurent, Quebec",3.5,1.5,,3.2
2003,British Columbia,105.3,78.9,11.1,136
2003,"Calgary, Alberta",37.1,24.3,5.7,63.3
2003,"Campbellton-Miramichi, New Brunswick",1.9,2.9,0.6,1.7
2003,"Camrose-Drumheller, Alberta",2,1.7,,3.6
2003,Canada,716,608,130.7,1002.7
2003,"Cape Breton, Nova Scotia",2.2,4,0.9,1.4
2003,"Capitale-Nationale, Quebec",15.8,11.4,1.9,19.4
2003,"Cariboo, British Columbia",2.8,2.5,,2.4
2003,"Centre-du-Québec, Quebec",1.8,,,3
2003,"Chaudière-Appalaches, Quebec",4.4,4.1,,7.9
2003,"Côte-Nord and Nord-du-Québec, Quebec",,,,
2003,"Edmonton, Alberta",22.8,24.8,5.1,36.7
2003,"Edmundston-Woodstock, New Brunswick",0.7,0.9,,1.2
2003,"Estrie, Quebec",3.2,5.2,,5.1
2003,"Fredericton-Oromocto, New Brunswick",2.2,3.4,1.6,4.7
2003,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,
2003,"Halifax, Nova Scotia",10,11.1,1,11.6
2003,"Hamilton-Niagara Peninsula, Ontario",35.5,28.3,4.8,33.4
2003,"Interlake, Manitoba",1.6,1.9,0.5,1.3
2003,"Kingston-Pembroke, Ontario",5.9,7.5,3.7,8
2003,"Kitchener-Waterloo-Barrie, Ontario",25.6,21.4,3.6,28.7
2003,"Kootenay, British Columbia",2.9,2.1,,2.1
2003,"Lanaudière, Quebec",6.7,5.2,2.3,7.4
2003,"Laurentides, Quebec",11.2,6.8,1.9,14.4
2003,"Laval, Quebec",8.2,7.5,2.4,11.4
2003,"Lethbridge-Medicine Hat, Alberta",4.2,3.2,,4.7
2003,"London, Ontario",11.2,14,1.5,12.7
2003,"Lower Mainland-Southwest, British Columbia",73.4,50.1,7.1,102.2
2003,Manitoba,21.7,19.5,7,24.2
2003,"Mauricie, Quebec",3.4,3.1,1.8,3.8
2003,"Moncton-Richibucto, New Brunswick",4,7.1,,4.5
2003,"Montréal, Quebec",54.5,38.2,7.4,82.1
2003,"Montérégie, Quebec",31.8,18.3,7,36.9
2003,"Muskoka-Kawarthas, Ontario",8.7,7.3,1.9,7.4
2003,New Brunswick,12,21.7,4.2,15.9
2003,Newfoundland and Labrador,7.5,7.6,2,7.5
2003,"North Coast and Nechako, British Columbia",,,,1.5
2003,"North Shore, Nova Scotia",2,3.4,,2.3
2003,"Northeast, British Columbia",,,,1.7
2003,"Northeast, Ontario",9.9,9.3,2.2,9.5
2003,"Northwest, Ontario",5.2,3.5,,3.6
2003,Nova Scotia,17.1,22.1,2.4,18.3
2003,Ontario,294.4,264.3,53.8,449.3
2003,"Ottawa, Ontario",28.7,26.6,2.7,62.4
2003,"Outaouais, Quebec",9.8,6.8,,7.2
2003,"Parklands and North, Manitoba",0.9,0.6,,0.6
2003,"Prince Albert and Northern, Saskatchewan",2.6,1.9,0.7,2
2003,Prince Edward Island,2.6,2.3,0.4,2.5
2003,Quebec,161.6,116.3,31.7,211.6
2003,"Red Deer, Alberta",2.9,3.2,,3.8
2003,"Regina-Moose Mountain, Saskatchewan",8.5,5,1.7,7
2003,"Saguenay-Lac-Saint-Jean, Quebec",3,2.9,,6
2003,"Saint John-St. Stephen, New Brunswick",3.2,7.4,1.3,3.7
2003,Saskatchewan,19.6,12.6,4.1,17.7
2003,"Saskatoon-Biggar, Saskatchewan",5.6,4.6,0.7,6.9
2003,"South Central and North Central, Manitoba",1.1,0.9,0.5,0.8
2003,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.6,1.5,,0.9
2003,"Southeast, Manitoba",1.1,0.7,0.8,1.5
2003,"Southern, Nova Scotia",1.6,1.9,,1.1
2003,"Southwest, Manitoba",1.5,0.7,,0.9
2003,"Stratford-Bruce Peninsula, Ontario",4.7,3.7,8.8,4.3
2003,"Swift Current-Moose Jaw, Saskatchewan",1.7,0.6,0.7,1
2003,"Thompson-Okanagan, British Columbia",8.9,8.2,,10.1
2003,"Toronto, Ontario",146.5,131.9,21.5,268.5
2003,"Vancouver Island and Coast, British Columbia",14.9,14.3,,15.9
2003,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.3,1.4,,0.9
2003,"Windsor-Sarnia, Ontario",12.6,10.7,2.3,10.8
2003,"Winnipeg, Manitoba",15.6,14.7,4.3,19.1
2003,"Wood Buffalo-Cold Lake, Alberta",,1.5,,2
2003,"Yorkton-Melville, Saskatchewan",1.3,0.5,,0.9
2004,"Abitibi-Témiscamingue, Quebec",2.1,,,2.3
2004,Alberta,72.6,64.8,13.8,122.4
2004,"Annapolis Valley, Nova Scotia",1.3,2.2,,1.9
2004,"Avalon Peninsula, Newfoundland and Labrador",5.4,5.2,0.9,5.2
2004,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",3.6,4,,5.3
2004,"Bas-Saint-Laurent, Quebec",4,2.3,,2.5
2004,British Columbia,109.8,79.6,9.1,143.1
2004,"Calgary, Alberta",34.1,28.9,3.3,66.9
2004,"Campbellton-Miramichi, New Brunswick",2,2.3,0.5,2.1
2004,"Camrose-Drumheller, Alberta",2,3,1.5,3.3
2004,Canada,733.1,627.1,132.1,1012.9
2004,"Cape Breton, Nova Scotia",1.5,4.1,0.6,1.5
2004,"Capitale-Nationale, Quebec",16.2,13.5,3,18.8
2004,"Cariboo, British Columbia",2.9,1.9,,2.8
2004,"Centre-du-Québec, Quebec",,1.7,,4.1
2004,"Chaudière-Appalaches, Quebec",4.2,6.4,,8.1
2004,"Côte-Nord and Nord-du-Québec, Quebec",,,1.8,
2004,"Edmonton, Alberta",25.5,20.6,5.9,38.1
2004,"Edmundston-Woodstock, New Brunswick",0.6,0.6,,1.3
2004,"Estrie, Quebec",3.7,3.2,,4.9
2004,"Fredericton-Oromocto, New Brunswick",1.7,5.1,1,4.3
2004,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,
2004,"Halifax, Nova Scotia",10.3,11.9,1.2,13.6
2004,"Hamilton-Niagara Peninsula, Ontario",35.8,29.8,5.2,30.9
2004,"Interlake, Manitoba",1.9,1.2,0.6,1.5
2004,"Kingston-Pembroke, Ontario",5.4,8.4,1.6,8.2
2004,"Kitchener-Waterloo-Barrie, Ontario",18.8,21.7,2.5,31.1
2004,"Kootenay, British Columbia",2.8,2.4,,2
2004,"Lanaudière, Quebec",7.9,8.1,2.1,8.3
2004,"Laurentides, Quebec",10.5,5.9,2.4,17.4
2004,"Laval, Quebec",7.1,5.8,,11.3
2004,"Lethbridge-Medicine Hat, Alberta",4.5,3.5,,4.5
2004,"London, Ontario",10.7,13.4,,18.1
2004,"Lower Mainland-Southwest, British Columbia",73.1,49.1,5.3,108.2
2004,Manitoba,23.7,20.7,7.1,24.9
2004,"Mauricie, Quebec",3.3,3.5,1.9,3
2004,"Moncton-Richibucto, New Brunswick",4,5.7,,4.3
2004,"Montréal, Quebec",58.8,33.7,5.4,84.7
2004,"Montérégie, Quebec",31,18,6.9,43.6
2004,"Muskoka-Kawarthas, Ontario",7.1,9.5,3.8,8.7
2004,New Brunswick,11.2,21.2,3.4,16.4
2004,Newfoundland and Labrador,7.9,7.3,1.9,6.6
2004,"North Coast and Nechako, British Columbia",,1.5,,
2004,"North Shore, Nova Scotia",1.8,3.7,,1.4
2004,"Northeast, British Columbia",,,,1.9
2004,"Northeast, Ontario",9.9,10.6,3.5,8.9
2004,"Northwest, Ontario",4.5,3.1,,4.2
2004,Nova Scotia,16.6,25,2.4,20
2004,Ontario,304.6,277.9,57.2,437.4
2004,"Ottawa, Ontario",31.1,24.5,2.5,49.7
2004,"Outaouais, Quebec",8.5,7.1,1.8,5.8
2004,"Parklands and North, Manitoba",0.9,0.9,,0.5
2004,"Prince Albert and Northern, Saskatchewan",2.7,1.7,0.6,2.3
2004,Prince Edward Island,2.4,2.3,0.4,2.5
2004,Quebec,164.1,115.2,32.2,222
2004,"Red Deer, Alberta",1.9,3.2,,2.8
2004,"Regina-Moose Mountain, Saskatchewan",9.2,4.7,2,6.4
2004,"Saguenay-Lac-Saint-Jean, Quebec",4.2,3,,5.2
2004,"Saint John-St. Stephen, New Brunswick",2.9,7.6,1.4,4.3
2004,Saskatchewan,20.2,13.1,4.4,17.5
2004,"Saskatoon-Biggar, Saskatchewan",5.8,4.9,1,6.8
2004,"South Central and North Central, Manitoba",1,1.1,,1
2004,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.2,1.1,0.7,0.6
2004,"Southeast, Manitoba",1,1,0.5,1.2
2004,"Southern, Nova Scotia",1.6,3.1,,1.6
2004,"Southwest, Manitoba",1.4,1.5,0.7,1.1
2004,"Stratford-Bruce Peninsula, Ontario",6.7,4.3,7.9,4.8
2004,"Swift Current-Moose Jaw, Saskatchewan",1.5,0.6,0.7,1.3
2004,"Thompson-Okanagan, British Columbia",12.8,10.6,,9
2004,"Toronto, Ontario",157.3,140.9,24.9,261.7
2004,"Vancouver Island and Coast, British Columbia",16.1,13.3,,17.9
2004,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.3,1,,0.9
2004,"Windsor-Sarnia, Ontario",17.5,11.6,3.3,11.1
2004,"Winnipeg, Manitoba",17.3,14.9,4.4,19.6
2004,"Wood Buffalo-Cold Lake, Alberta",,,,1.5
