Year,GEO,"RATE_Professional, scientific and technical services [54]#Persons#thousands#14100098_StatsCanada",RATE_Health care and social assistance [62]#Persons#thousands#14100098_StatsCanada
2001,"Abbotsford-Mission, British Columbia",3.2,8.4
2001,"Barrie, Ontario",3.9,7.6
2001,"Brantford, Ontario",2.7,5.9
2001,"Calgary, Alberta",67.9,47.5
2001,"Edmonton, Alberta",35.9,52.6
2001,"Greater Sudbury, Ontario",3.1,9.4
2001,"Guelph, Ontario",3.8,5.9
2001,"Halifax, Nova Scotia",12.4,21.5
2001,"Hamilton, Ontario",18.2,37.2
2001,"Kelowna, British Columbia",5.6,7.9
2001,"Kingston, Ontario",3.2,9.6
2001,"Kitchener-Cambridge-Waterloo, Ontario",12.4,17.8
2001,"London, Ontario",12.5,31
2001,"Moncton, New Brunswick",2.8,7
2001,"Montréal, Quebec",134.5,183.9
2001,"Oshawa, Ontario",9.1,13.8
2001,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",50.4,42.4
2001,"Ottawa-Gatineau, Ontario/Quebec",57.3,57.1
2001,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",6.8,14.7
2001,"Peterborough, Ontario",2.8,7.6
2001,"Québec, Quebec",24.4,47
2001,"Regina, Saskatchewan",6.4,12
2001,"Saguenay, Quebec",3.6,8.1
2001,"Saint John, New Brunswick",2.8,8
2001,"Saskatoon, Saskatchewan",5.5,14.7
2001,"Sherbrooke, Quebec",3.5,13.2
2001,"St. Catharines-Niagara, Ontario",7.7,17.1
2001,"St. John's, Newfoundland and Labrador",5.2,11.8
2001,"Thunder Bay, Ontario",2.4,9.2
2001,"Toronto, Ontario",257,200.4
2001,"Trois-Rivières, Quebec",1.9,7.4
2001,"Vancouver, British Columbia",95.9,96.1
2001,"Victoria, British Columbia",11.5,18.9
2001,"Windsor, Ontario",6.6,16.3
2001,"Winnipeg, Manitoba",19.1,45.6
2002,"Abbotsford-Mission, British Columbia",3,7.4
2002,"Barrie, Ontario",2.9,7.8
2002,"Brantford, Ontario",1.8,7.4
2002,"Calgary, Alberta",62,48.6
2002,"Edmonton, Alberta",37.8,54.7
2002,"Greater Sudbury, Ontario",3.2,10.6
2002,"Guelph, Ontario",4.7,6.3
2002,"Halifax, Nova Scotia",11.2,21.7
2002,"Hamilton, Ontario",20.9,38.4
2002,"Kelowna, British Columbia",3.5,7.3
2002,"Kingston, Ontario",3,11.2
2002,"Kitchener-Cambridge-Waterloo, Ontario",11.4,18.3
2002,"London, Ontario",14.6,33.2
2002,"Moncton, New Brunswick",3.1,7.4
2002,"Montréal, Quebec",137.3,193
2002,"Oshawa, Ontario",9.4,14.9
2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",48.6,44.7
2002,"Ottawa-Gatineau, Ontario/Quebec",55.9,58.9
2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",7.3,14.2
2002,"Peterborough, Ontario",,6.7
2002,"Québec, Quebec",21.8,51.6
2002,"Regina, Saskatchewan",6.1,12.5
2002,"Saguenay, Quebec",3.4,9.9
2002,"Saint John, New Brunswick",3.5,8.5
2002,"Saskatoon, Saskatchewan",6.5,14.3
2002,"Sherbrooke, Quebec",4.6,13.5
