Year,GEO,"RATE_Care providers and educational, legal and public protection support occupations [44]#Persons#thousands#14100314_StatsCanada"
2001,"Abbotsford-Mission, British Columbia",1.6
2001,"Barrie, Ontario",
2001,"Brantford, Ontario",
2001,"Calgary, Alberta",7.4
2001,"Edmonton, Alberta",7.4
2001,"Greater Sudbury, Ontario",
2001,"Guelph, Ontario",
2001,"Halifax, Nova Scotia",3.3
2001,"Hamilton, Ontario",3.0
2001,"Kelowna, British Columbia",
2001,"Kingston, Ontario",1.6
2001,"Kitchener-Cambridge-Waterloo, Ontario",2.2
2001,"London, Ontario",3.2
2001,"Moncton, New Brunswick",0.9
2001,"Montréal, Quebec",12.1
2001,"Oshawa, Ontario",2.0
2001,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5.2
2001,"Ottawa-Gatineau, Ontario/Quebec",6.0
2001,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2001,"Peterborough, Ontario",
2001,"Québec, Quebec",3.2
2001,"Regina, Saskatchewan",1.0
2001,"Saguenay, Quebec",
2001,"Saint John, New Brunswick",1.3
2001,"Saskatoon, Saskatchewan",1.9
2001,"Sherbrooke, Quebec",
2001,"St. Catharines-Niagara, Ontario",2.1
2001,"St. John's, Newfoundland and Labrador",1.1
2001,"Thunder Bay, Ontario",
2001,"Toronto, Ontario",26.0
2001,"Trois-Rivières, Quebec",
2001,"Vancouver, British Columbia",18.8
2001,"Victoria, British Columbia",2.7
2001,"Windsor, Ontario",
2001,"Winnipeg, Manitoba",6.5
2002,"Abbotsford-Mission, British Columbia",1.7
2002,"Barrie, Ontario",
2002,"Brantford, Ontario",
2002,"Calgary, Alberta",9.1
2002,"Edmonton, Alberta",5.9
2002,"Greater Sudbury, Ontario",
2002,"Guelph, Ontario",
2002,"Halifax, Nova Scotia",2.9
2002,"Hamilton, Ontario",3.7
2002,"Kelowna, British Columbia",1.5
2002,"Kingston, Ontario",1.7
2002,"Kitchener-Cambridge-Waterloo, Ontario",2.5
2002,"London, Ontario",2.1
2002,"Moncton, New Brunswick",1.0
2002,"Montréal, Quebec",18.1
2002,"Oshawa, Ontario",2.7
2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5.1
2002,"Ottawa-Gatineau, Ontario/Quebec",6.1
2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2002,"Peterborough, Ontario",
2002,"Québec, Quebec",1.9
2002,"Regina, Saskatchewan",1.1
2002,"Saguenay, Quebec",
2002,"Saint John, New Brunswick",1.1
2002,"Saskatoon, Saskatchewan",2.2
2002,"Sherbrooke, Quebec",
2002,"St. Catharines-Niagara, Ontario",1.9
2002,"St. John's, Newfoundland and Labrador",1.7
2002,"Thunder Bay, Ontario",
2002,"Toronto, Ontario",28.0
2002,"Trois-Rivières, Quebec",
2002,"Vancouver, British Columbia",18.1
2002,"Victoria, British Columbia",4.2
2002,"Windsor, Ontario",1.5
2002,"Winnipeg, Manitoba",7.9
2003,"Abbotsford-Mission, British Columbia",1.9
2003,"Barrie, Ontario",
2003,"Brantford, Ontario",
2003,"Calgary, Alberta",8.5
2003,"Edmonton, Alberta",7.6
2003,"Greater Sudbury, Ontario",
2003,"Guelph, Ontario",
2003,"Halifax, Nova Scotia",3.5
2003,"Hamilton, Ontario",3.2
2003,"Kelowna, British Columbia",
2003,"Kingston, Ontario",2.0
2003,"Kitchener-Cambridge-Waterloo, Ontario",2.0
2003,"London, Ontario",2.6
2003,"Moncton, New Brunswick",1.2
2003,"Montréal, Quebec",20.5
2003,"Oshawa, Ontario",1.8
2003,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5.4
2003,"Ottawa-Gatineau, Ontario/Quebec",6.5
2003,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2003,"Peterborough, Ontario",
2003,"Québec, Quebec",1.8
2003,"Regina, Saskatchewan",1.5
2003,"Saguenay, Quebec",
2003,"Saint John, New Brunswick",1.7
2003,"Saskatoon, Saskatchewan",2.1
2003,"Sherbrooke, Quebec",
2003,"St. Catharines-Niagara, Ontario",1.6
2003,"St. John's, Newfoundland and Labrador",1.9
2003,"Thunder Bay, Ontario",
2003,"Toronto, Ontario",33.4
2003,"Trois-Rivières, Quebec",
2003,"Vancouver, British Columbia",15.6
2003,"Victoria, British Columbia",4.5
2003,"Windsor, Ontario",
2003,"Winnipeg, Manitoba",7.2
2004,"Abbotsford-Mission, British Columbia",2.1
2004,"Barrie, Ontario",
2004,"Brantford, Ontario",
2004,"Calgary, Alberta",9.4
2004,"Edmonton, Alberta",8.1
2004,"Greater Sudbury, Ontario",1.6
2004,"Guelph, Ontario",
2004,"Halifax, Nova Scotia",3.2
2004,"Hamilton, Ontario",4.0
2004,"Kelowna, British Columbia",
2004,"Kingston, Ontario",2.4
2004,"Kitchener-Cambridge-Waterloo, Ontario",2.9
2004,"London, Ontario",1.9
2004,"Moncton, New Brunswick",1.2
2004,"Montréal, Quebec",16.8
2004,"Oshawa, Ontario",2.1
2004,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",3.1
2004,"Ottawa-Gatineau, Ontario/Quebec",4.3
2004,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2004,"Peterborough, Ontario",
2004,"Québec, Quebec",3.2
2004,"Regina, Saskatchewan",1.9
2004,"Saguenay, Quebec",
2004,"Saint John, New Brunswick",1.5
2004,"Saskatoon, Saskatchewan",2.4
2004,"Sherbrooke, Quebec",
2004,"St. Catharines-Niagara, Ontario",2.1
2004,"St. John's, Newfoundland and Labrador",1.9
2004,"Thunder Bay, Ontario",
2004,"Toronto, Ontario",33.3
2004,"Trois-Rivières, Quebec",
2004,"Vancouver, British Columbia",19.3
2004,"Victoria, British Columbia",2.8
2004,"Windsor, Ontario",
2004,"Winnipeg, Manitoba",8.2
2005,"Abbotsford-Mission, British Columbia",1.6
2005,"Barrie, Ontario",
2005,"Brantford, Ontario",
2005,"Calgary, Alberta",6.1
2005,"Edmonton, Alberta",7.6
2005,"Greater Sudbury, Ontario",
2005,"Guelph, Ontario",
2005,"Halifax, Nova Scotia",3.3
2005,"Hamilton, Ontario",3.6
2005,"Kelowna, British Columbia",
2005,"Kingston, Ontario",2.4
2005,"Kitchener-Cambridge-Waterloo, Ontario",2.9
2005,"London, Ontario",2.6
2005,"Moncton, New Brunswick",0.9
2005,"Montréal, Quebec",17.3
2005,"Oshawa, Ontario",2.4
2005,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",4.8
2005,"Ottawa-Gatineau, Ontario/Quebec",5.7
2005,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2005,"Peterborough, Ontario",
2005,"Québec, Quebec",2.4
2005,"Regina, Saskatchewan",1.7
2005,"Saguenay, Quebec",
2005,"Saint John, New Brunswick",1.3
2005,"Saskatoon, Saskatchewan",2.6
2005,"Sherbrooke, Quebec",
2005,"St. Catharines-Niagara, Ontario",2.0
2005,"St. John's, Newfoundland and Labrador",1.9
2005,"Thunder Bay, Ontario",
2005,"Toronto, Ontario",27.0
2005,"Trois-Rivières, Quebec",
2005,"Vancouver, British Columbia",16.8
2005,"Victoria, British Columbia",2.6
2005,"Windsor, Ontario",1.6
2005,"Winnipeg, Manitoba",8.8
2006,"Abbotsford-Mission, British Columbia",1.8
2006,"Barrie, Ontario",
2006,"Brantford, Ontario",
2006,"Calgary, Alberta",8.6
2006,"Edmonton, Alberta",6.8
2006,"Greater Sudbury, Ontario",
2006,"Guelph, Ontario",
2006,"Halifax, Nova Scotia",3.9
2006,"Hamilton, Ontario",4.2
2006,"Kelowna, British Columbia",
2006,"Kingston, Ontario",1.8
2006,"Kitchener-Cambridge-Waterloo, Ontario",2.7
2006,"London, Ontario",2.8
2006,"Moncton, New Brunswick",1.3
2006,"Montréal, Quebec",15.0
2006,"Oshawa, Ontario",2.7
2006,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",3.7
2006,"Ottawa-Gatineau, Ontario/Quebec",4.8
2006,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2006,"Peterborough, Ontario",
2006,"Québec, Quebec",3.6
2006,"Regina, Saskatchewan",1.4
2006,"Saguenay, Quebec",
2006,"Saint John, New Brunswick",1.2
2006,"Saskatoon, Saskatchewan",2.0
2006,"Sherbrooke, Quebec",
2006,"St. Catharines-Niagara, Ontario",2.4
2006,"St. John's, Newfoundland and Labrador",2.3
2006,"Thunder Bay, Ontario",
2006,"Toronto, Ontario",30.7
2006,"Trois-Rivières, Quebec",
2006,"Vancouver, British Columbia",14.8
2006,"Victoria, British Columbia",2.7
2006,"Windsor, Ontario",
2006,"Winnipeg, Manitoba",8.4
2007,"Abbotsford-Mission, British Columbia",2.1
2007,"Barrie, Ontario",
2007,"Brantford, Ontario",
2007,"Calgary, Alberta",8.9
2007,"Edmonton, Alberta",8.8
2007,"Greater Sudbury, Ontario",
2007,"Guelph, Ontario",
2007,"Halifax, Nova Scotia",4.0
2007,"Hamilton, Ontario",7.2
2007,"Kelowna, British Columbia",
2007,"Kingston, Ontario",1.6
2007,"Kitchener-Cambridge-Waterloo, Ontario",3.4
2007,"London, Ontario",2.4
2007,"Moncton, New Brunswick",1.5
2007,"Montréal, Quebec",16.3
2007,"Oshawa, Ontario",2.2
2007,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5.6
2007,"Ottawa-Gatineau, Ontario/Quebec",6.7
2007,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2007,"Peterborough, Ontario",
2007,"Québec, Quebec",3.2
2007,"Regina, Saskatchewan",1.7
2007,"Saguenay, Quebec",
2007,"Saint John, New Brunswick",1.4
2007,"Saskatoon, Saskatchewan",3.1
2007,"Sherbrooke, Quebec",
2007,"St. Catharines-Niagara, Ontario",2.5
2007,"St. John's, Newfoundland and Labrador",1.4
2007,"Thunder Bay, Ontario",1.6
2007,"Toronto, Ontario",36.8
2007,"Trois-Rivières, Quebec",
2007,"Vancouver, British Columbia",14.9
2007,"Victoria, British Columbia",2.6
2007,"Windsor, Ontario",1.7
2007,"Winnipeg, Manitoba",8.6
2008,"Abbotsford-Mission, British Columbia",1.7
2008,"Barrie, Ontario",
2008,"Brantford, Ontario",
2008,"Calgary, Alberta",9.2
2008,"Edmonton, Alberta",6.9
2008,"Greater Sudbury, Ontario",
2008,"Guelph, Ontario",
2008,"Halifax, Nova Scotia",3.2
2008,"Hamilton, Ontario",4.8
2008,"Kelowna, British Columbia",1.6
2008,"Kingston, Ontario",1.5
2008,"Kitchener-Cambridge-Waterloo, Ontario",3.0
2008,"London, Ontario",2.5
2008,"Moncton, New Brunswick",1.3
2008,"Montréal, Quebec",20.4
2008,"Oshawa, Ontario",2.8
2008,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5.4
2008,"Ottawa-Gatineau, Ontario/Quebec",6.7
2008,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2008,"Peterborough, Ontario",
2008,"Québec, Quebec",3.2
2008,"Regina, Saskatchewan",1.4
2008,"Saguenay, Quebec",
2008,"Saint John, New Brunswick",1.3
