Year,GEO,"RATE_British Columbia, province of destination#Persons#units#17100022_StatsCanada"
1971,"Alberta, province of origin",27910
1971,"Manitoba, province of origin",7810
1971,"New Brunswick, province of origin",1200
1971,"Newfoundland and Labrador, province of origin",465
1971,"Northwest Territories including Nunavut, province of origin",1308
1971,"Nova Scotia, province of origin",2589
1971,"Ontario, province of origin",18476
1971,"Prince Edward Island, province of origin",150
1971,"Quebec, province of origin",5116
1971,"Saskatchewan, province of origin",9563
1971,"Yukon, province of origin",837
1972,"Alberta, province of origin",29698
1972,"Manitoba, province of origin",8551
1972,"New Brunswick, province of origin",1357
1972,"Newfoundland and Labrador, province of origin",605
1972,"Northwest Territories including Nunavut, province of origin",1464
1972,"Nova Scotia, province of origin",1749
1972,"Ontario, province of origin",19366
1972,"Prince Edward Island, province of origin",143
1972,"Quebec, province of origin",5432
1972,"Saskatchewan, province of origin",9573
1972,"Yukon, province of origin",936
1973,"Alberta, province of origin",33656
1973,"Manitoba, province of origin",8514
1973,"New Brunswick, province of origin",1453
1973,"Newfoundland and Labrador, province of origin",850
1973,"Northwest Territories including Nunavut, province of origin",1697
1973,"Nova Scotia, province of origin",2333
1973,"Ontario, province of origin",24708
1973,"Prince Edward Island, province of origin",229
1973,"Quebec, province of origin",5013
1973,"Saskatchewan, province of origin",9643
1973,"Yukon, province of origin",1086
1974,"Alberta, province of origin",25414
1974,"Manitoba, province of origin",7938
1974,"New Brunswick, province of origin",1319
1974,"Newfoundland and Labrador, province of origin",798
1974,"Northwest Territories including Nunavut, province of origin",1328
1974,"Nova Scotia, province of origin",2766
1974,"Ontario, province of origin",22327
1974,"Prince Edward Island, province of origin",234
1974,"Quebec, province of origin",4998
1974,"Saskatchewan, province of origin",7006
1974,"Yukon, province of origin",848
1975,"Alberta, province of origin",21228
1975,"Manitoba, province of origin",5978
1975,"New Brunswick, province of origin",946
1975,"Newfoundland and Labrador, province of origin",578
1975,"Northwest Territories including Nunavut, province of origin",1082
1975,"Nova Scotia, province of origin",1811
1975,"Ontario, province of origin",17391
1975,"Prince Edward Island, province of origin",171
1975,"Quebec, province of origin",3802
1975,"Saskatchewan, province of origin",4888
1975,"Yukon, province of origin",692
1976,"Alberta, province of origin",18793
1976,"Manitoba, province of origin",4495
1976,"New Brunswick, province of origin",1019
1976,"Newfoundland and Labrador, province of origin",678
1976,"Northwest Territories including Nunavut, province of origin",887
1976,"Nova Scotia, province of origin",2178
1976,"Ontario, province of origin",19058
1976,"Prince Edward Island, province of origin",185
1976,"Quebec, province of origin",5533
1976,"Saskatchewan, province of origin",3969
1976,"Yukon, province of origin",1404
1977,"Alberta, province of origin",21191
1977,"Manitoba, province of origin",5181
1977,"New Brunswick, province of origin",1256
1977,"Newfoundland and Labrador, province of origin",822
1977,"Northwest Territories including Nunavut, province of origin",823
1977,"Nova Scotia, province of origin",2482
1977,"Ontario, province of origin",19629
1977,"Prince Edward Island, province of origin",217
1977,"Quebec, province of origin",6302
1977,"Saskatchewan, province of origin",4283
1977,"Yukon, province of origin",1185
1978,"Alberta, province of origin",24076
1978,"Manitoba, province of origin",6147
1978,"New Brunswick, province of origin",1244
1978,"Newfoundland and Labrador, province of origin",802
1978,"Northwest Territories including Nunavut, province of origin",851
1978,"Nova Scotia, province of origin",2528
1978,"Ontario, province of origin",19613
1978,"Prince Edward Island, province of origin",247
1978,"Quebec, province of origin",5553
1978,"Saskatchewan, province of origin",4926
1978,"Yukon, province of origin",1519
1979,"Alberta, province of origin",30602
1979,"Manitoba, province of origin",8516
1979,"New Brunswick, province of origin",1215
1979,"Newfoundland and Labrador, province of origin",886
1979,"Northwest Territories including Nunavut, province of origin",812
1979,"Nova Scotia, province of origin",2408
1979,"Ontario, province of origin",23024
1979,"Prince Edward Island, province of origin",272
1979,"Quebec, province of origin",5064
1979,"Saskatchewan, province of origin",6249
1979,"Yukon, province of origin",1608
1980,"Alberta, province of origin",31481
1980,"Manitoba, province of origin",7609
1980,"New Brunswick, province of origin",1368
1980,"Newfoundland and Labrador, province of origin",987
1980,"Northwest Territories including Nunavut, province of origin",854
1980,"Nova Scotia, province of origin",2478
1980,"Ontario, province of origin",23570
1980,"Prince Edward Island, province of origin",301
1980,"Quebec, province of origin",4550
1980,"Saskatchewan, province of origin",5993
1980,"Yukon, province of origin",1324
1981,"Alberta, province of origin",23053
1981,"Manitoba, province of origin",4404
1981,"New Brunswick, province of origin",1149
1981,"Newfoundland and Labrador, province of origin",1182
1981,"Northwest Territories including Nunavut, province of origin",559
1981,"Nova Scotia, province of origin",2152
1981,"Ontario, province of origin",16449
1981,"Prince Edward Island, province of origin",213
1981,"Quebec, province of origin",3700
1981,"Saskatchewan, province of origin",3912
1981,"Yukon, province of origin",1210
1982,"Alberta, province of origin",18839
1982,"Manitoba, province of origin",3058
1982,"New Brunswick, province of origin",574
1982,"Newfoundland and Labrador, province of origin",536
1982,"Northwest Territories including Nunavut, province of origin",603
1982,"Nova Scotia, province of origin",1508
1982,"Ontario, province of origin",11136
1982,"Prince Edward Island, province of origin",144
1982,"Quebec, province of origin",3289
1982,"Saskatchewan, province of origin",3141
1982,"Yukon, province of origin",1393
1983,"Alberta, province of origin",21112
1983,"Manitoba, province of origin",3182
1983,"New Brunswick, province of origin",604
1983,"Newfoundland and Labrador, province of origin",618
1983,"Northwest Territories including Nunavut, province of origin",619
1983,"Nova Scotia, province of origin",1368
1983,"Ontario, province of origin",9831
1983,"Prince Edward Island, province of origin",107
1983,"Quebec, province of origin",2501
1983,"Saskatchewan, province of origin",3171
1983,"Yukon, province of origin",975
1984,"Alberta, province of origin",18286
1984,"Manitoba, province of origin",3079
1984,"New Brunswick, province of origin",582
1984,"Newfoundland and Labrador, province of origin",603
1984,"Northwest Territories including Nunavut, province of origin",533
1984,"Nova Scotia, province of origin",1248
