Year,GEO,"RATE_Youth, under 20 years, as a proportion of total population#Percent#units#17100133_StatsCanada","RATE_Seniors, 65 years and over, as a proportion of total population#Percent#units#17100133_StatsCanada","RATE_Youth, under 20 years, as a proportion of total population#Percent#units#17100133_StatsCanada"
2006,Alberta,26.1,10.4,26.1
2006,"Athabasca Health Authority, Saskatchewan",44.6,4.3,44.6
2006,"Brant County Health Unit, Ontario",26.1,13.6,26.1
2006,British Columbia,22.9,14.1,22.9
2006,"Calgary Zone, Alberta",25.2,9.2,25.2
2006,Canada,24.1,13.3,24.1
2006,"Central East Health Integration Network, Ontario",24.3,13.3,24.3
2006,"Central Health Integration Network, Ontario",25,11.4,25
2006,"Central Regional Health Authority, Newfoundland and Labrador",20.9,16.3,20.9
2006,"Central Vancouver Island Health Service Delivery Area, British Columbia",22,18.8,22
2006,"Central West Health Integration Network, Ontario",27.9,8.9,27.9
2006,"Central Zone, Alberta",27.3,12.7,27.3
2006,"Champlain Health Integration Network, Ontario",24.2,12.7,24.2
2006,"Chatham-Kent Health Unit, Ontario",25.1,15.4,25.1
2006,"City of Hamilton Health Unit, Ontario",24.4,14.4,24.4
2006,"City of Ottawa Health Unit, Ontario",23.9,11.9,23.9
2006,"City of Toronto Health Unit, Ontario",21.8,13.5,21.8
2006,"Cypress Regional Health Authority, Saskatchewan",25,18.9,25
2006,"District of Algoma Health Unit, Ontario",21.8,18.5,21.8
2006,"Durham Regional Health Unit, Ontario",27.8,10.3,27.8
2006,"East Kootenay Health Service Delivery Area, British Columbia",23,15.6,23
2006,"Eastern Ontario Health Unit, Ontario",25.1,14.4,25.1
2006,"Eastern Regional Health Authority, Newfoundland and Labrador",22,12.8,22
2006,"Edmonton Zone, Alberta",24.9,10.7,24.9
2006,"Erie St. Clair Health Integration Network, Ontario",25.1,14,25.1
2006,"Five Hills Regional Health Authority, Saskatchewan",24.2,19.3,24.2
2006,"Fraser East Health Service Delivery Area, British Columbia",26.8,14.1,26.8
2006,"Fraser North Health Service Delivery Area, British Columbia",23.3,11.6,23.3
2006,"Fraser South Health Service Delivery Area, British Columbia",26.2,12.2,26.2
2006,"Grey Bruce Health Unit, Ontario",23.3,18,23.3
2006,"Haldimand-Norfolk Health Unit, Ontario",25.2,15.2,25.2
2006,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",22.3,19.4,22.3
2006,"Halton Regional Health Unit, Ontario",26.3,12,26.3
2006,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",24.3,15.2,24.3
2006,"Hastings and Prince Edward Counties Health Unit, Ontario",23.5,17,23.5
2006,"Heartland Regional Health Authority, Saskatchewan",26.1,19.2,26.1
2006,"Huron County Health Unit, Ontario",25.5,17.3,25.5
2006,"Interlake-Eastern Regional Health Authority, Manitoba",27.3,14.4,27.3
2006,"Keewatin Yatthé Regional Health Authority, Saskatchewan",44,5.6,44
2006,"Kelsey Trail Regional Health Authority, Saskatchewan",26.6,19.7,26.6
2006,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",22.5,15.3,22.5
2006,"Kootenay-Boundary Health Service Delivery Area, British Columbia",21.8,17.2,21.8
2006,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",26.1,8.7,26.1
2006,"Lambton Health Unit, Ontario",23.9,16.4,23.9
2006,"Leeds, Grenville and Lanark District Health Unit, Ontario",23.7,16.4,23.7
2006,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",44.9,4.8,44.9
2006,"Mamawetan/Keewatin/Athabasca, Saskatchewan",44.6,5,44.6
2006,Manitoba,26.7,13.7,26.7
2006,"Middlesex-London Health Unit, Ontario",24.4,13.1,24.4
2006,"Mississauga Halton Health Integration Network, Ontario",26.5,10.1,26.5
2006,New Brunswick,22.5,14.5,22.5
2006,Newfoundland and Labrador,22,13.6,22
2006,"Niagara Regional Area Health Unit, Ontario",23.4,16.8,23.4
2006,"North Bay Parry Sound District Health Unit, Ontario",22.3,17,22.3
2006,"North East Health Integration Network, Ontario",23.1,15.9,23.1
2006,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",22.9,14.9,22.9
2006,"North Simcoe Muskoka Health Integration Network, Ontario",25,14.7,25
2006,"North Vancouver Island Health Service Delivery Area, British Columbia",23.7,14.9,23.7
2006,"North West Health Integration Network, Ontario",25.8,13.7,25.8
2006,"North Zone, Alberta",30.1,8.5,30.1
2006,"Northeast Health Service Delivery Area, British Columbia",29.2,8,29.2
2006,"Northern Interior Health Service Delivery Area, British Columbia",26.8,10,26.8
2006,"Northern Regional Health Authority, Manitoba",40,5.4,40
2006,"Northwest Health Service Delivery Area, British Columbia",29.2,9.6,29.2
2006,Northwest Territories,31.7,4.6,31.7
2006,"Northwestern Health Unit, Ontario",29,12.4,29
2006,Nova Scotia,22.6,14.7,22.6
2006,Nunavut,43.6,2.6,43.6
2006,"Okanagan Health Service Delivery Area, British Columbia",21.7,20.3,21.7
2006,Ontario by Health Unit,24.7,13,24.7
2006,Ontario by Local Health Integration Network,24.7,13,24.7
2006,"Oxford Elgin St. Thomas Health Unit, Ontario ",26.4,14.3,26.4
2006,"Peel Regional Health Unit, Ontario",27.9,8.7,27.9
2006,Peer group A,28.9,10.2,28.9
2006,Peer group B,24.5,12.3,24.5
2006,Peer group C,22.9,15.9,22.9
2006,Peer group D,25.5,14,25.5
2006,Peer group E,22.1,15.4,22.1
2006,Peer group F,42.3,4.5,42.3
2006,Peer group G,20.9,13.9,20.9
2006,Peer group H,26.1,10.6,26.1
2006,"Perth District Health Unit, Ontario",26.5,14.7,26.5
2006,"Peterborough County-City Health Unit, Ontario",22.2,18,22.2
2006,"Porcupine Health Unit, Ontario",25.8,12.9,25.8
2006,"Prairie Mountain Health, Manitoba",25.9,17.7,25.9
2006,"Prairie North Regional Health Authority, Saskatchewan",31.6,12.2,31.6
2006,"Prince Albert Parkland Regional Health Authority, Saskatchewan",30.3,14.5,30.3
2006,Prince Edward Island,24.5,14.6,24.5
2006,Quebec,22.6,13.9,22.6
2006,"Regina Qu'Appelle Regional Health Authority, Saskatchewan",25.7,13.7,25.7
2006,"Renfrew County and District Health Unit, Ontario",23.6,16.3,23.6
2006,"Richmond Health Service Delivery Area, British Columbia",22.1,12.4,22.1
2006,"Région de Lanaudière, Quebec",25,11.9,25
2006,"Région de Laval, Quebec",24,13.9,24
2006,"Région de Montréal, Quebec",20.6,15,20.6
2006,"Région de l'Abitibi-Témiscamingue, Quebec",24.8,12.8,24.8
2006,"Région de l'Estrie, Quebec",23.1,14.7,23.1
2006,"Région de l'Outaouais, Quebec",24.5,11,24.5
2006,"Région de la Capitale-Nationale, Quebec",19.9,15.2,19.9
2006,"Région de la Chaudière-Appalaches, Quebec",23,14,23
2006,"Région de la Côte-Nord, Quebec",24.3,11.7,24.3
2006,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",20.2,17.3,20.2
2006,"Région de la Mauricie et du Centre-du-Québec, Quebec",21.5,16.3,21.5
2006,"Région de la Montérégie, Quebec",24.4,12.4,24.4
2006,"Région des Laurentides, Quebec",24.9,12.1,24.9
2006,"Région des Terres-Cries-de-la-Baie-James, Quebec",42.3,4.4,42.3
2006,"Région du Bas-Saint-Laurent, Quebec",21,16.6,21
2006,"Région du Nord-du-Québec, Quebec",25.8,7.7,25.8
2006,"Région du Nunavik, Quebec",46.8,3,46.8
2006,"Région du Saguenay - Lac-Saint-Jean, Quebec",22.3,14.7,22.3
2006,Saskatchewan,27,15,27
2006,"Saskatoon Regional Health Authority, Saskatchewan",25.9,13.4,25.9
2006,"Simcoe Muskoka District Health Unit, Ontario",25.3,14.2,25.3
2006,"South East Health Integration Network, Ontario",22.9,16.6,22.9
2006,"South Vancouver Island Health Service Delivery Area, British Columbia",19.7,17.5,19.7
2006,"South West Health Integration Network, Ontario",24.9,14.6,24.9
2006,"South Zone, Alberta",27.3,13.4,27.3
2006,"Southern Health, Manitoba",31.7,12.4,31.7
2006,"Sudbury and District Health Unit, Ontario",23.3,14.7,23.3
2006,"Sun Country Regional Health Authority, Saskatchewan",25.9,18.1,25.9
2006,"Sunrise Regional Health Authority, Saskatchewan",23.1,22.9,23.1
2006,"Thompson/Cariboo Health Service Delivery Area, British Columbia",23.2,15.4,23.2
2006,"Thunder Bay District Health Unit, Ontario",24.2,14.3,24.2
2006,"Timiskaming Health Unit, Ontario",22.8,17.4,22.8
2006,"Toronto Central Health Integration Network, Ontario",21.8,13.5,21.8
2006,"Vancouver Health Service Delivery Area, British Columbia",17.7,12.6,17.7
2006,"Waterloo Health Unit, Ontario",25.9,11.2,25.9
2006,"Waterloo Wellington Health Integration Network, Ontario",26,11.6,26
2006,"Wellington-Dufferin-Guelph Health Unit, Ontario",26.6,12.1,26.6
2006,"Western Regional Health Authority, Newfoundland and Labrador",21.4,15.6,21.4
2006,"Windsor-Essex County Health Unit, Ontario",25.5,12.8,25.5
2006,"Winnipeg Regional Health Authority, Manitoba",24.1,13.7,24.1
2006,"York Regional Health Unit, Ontario",27.1,9.9,27.1
2006,Yukon,25.5,7.1,25.5
2006,"Zone 1 (Moncton area), New Brunswick",21.6,14.5,21.6
2006,"Zone 1 - Western, Nova Scotia",22,17.1,22
2006,"Zone 2 (Saint John area), New Brunswick",24.1,14.3,24.1
2006,"Zone 2 - Northern, Nova Scotia",23.1,16,23.1
2006,"Zone 3 (Fredericton area), New Brunswick",23.6,13.6,23.6
2006,"Zone 3 - Eastern, Nova Scotia",23,17.1,23
2006,"Zone 4 (Edmundston area), New Brunswick",21.5,14.1,21.5
2006,"Zone 4 - Central, Nova Scotia",22.5,11.9,22.5
2006,"Zone 5 (Campbellton area), New Brunswick",20.7,17.9,20.7
2006,"Zone 6 (Bathurst area), New Brunswick",20,15.1,20
2006,"Zone 7 (Miramichi area), New Brunswick",22.5,15.4,22.5
2007,Alberta,25.7,10.3,25.7
2007,"Athabasca Health Authority, Saskatchewan",44.1,4.3,44.1
2007,"Brant County Health Unit, Ontario",25.9,13.8,25.9
2007,British Columbia,22.6,14.3,22.6
2007,"Calgary Zone, Alberta",24.8,9.2,24.8
2007,Canada,23.9,13.4,23.9
2007,"Central East Health Integration Network, Ontario",24,13.5,24
2007,"Central Health Integration Network, Ontario",24.7,11.6,24.7
2007,"Central Regional Health Authority, Newfoundland and Labrador",20.5,16.8,20.5
2007,"Central Vancouver Island Health Service Delivery Area, British Columbia",21.5,19.2,21.5
2007,"Central West Health Integration Network, Ontario",27.9,9.1,27.9
2007,"Central Zone, Alberta",26.9,12.7,26.9
2007,"Champlain Health Integration Network, Ontario",23.9,12.9,23.9
2007,"Chatham-Kent Health Unit, Ontario",24.6,15.7,24.6
2007,"City of Hamilton Health Unit, Ontario",24.1,14.5,24.1
2007,"City of Ottawa Health Unit, Ontario",23.7,12.1,23.7
2007,"City of Toronto Health Unit, Ontario",21.6,13.6,21.6
2007,"Cypress Regional Health Authority, Saskatchewan",24.7,19,24.7
2007,"District of Algoma Health Unit, Ontario",21.3,18.9,21.3
2007,"Durham Regional Health Unit, Ontario",27.4,10.5,27.4
2007,"East Kootenay Health Service Delivery Area, British Columbia",22.6,15.9,22.6
2007,"Eastern Ontario Health Unit, Ontario",24.7,14.7,24.7
2007,"Eastern Regional Health Authority, Newfoundland and Labrador",21.7,13.1,21.7
2007,"Edmonton Zone, Alberta",24.5,10.7,24.5
2007,"Erie St. Clair Health Integration Network, Ontario",24.7,14.3,24.7
2007,"Five Hills Regional Health Authority, Saskatchewan",23.8,19.2,23.8
2007,"Fraser East Health Service Delivery Area, British Columbia",26.6,14.3,26.6
2007,"Fraser North Health Service Delivery Area, British Columbia",23,11.7,23
2007,"Fraser South Health Service Delivery Area, British Columbia",26,12.3,26
2007,"Grey Bruce Health Unit, Ontario",22.7,18.4,22.7
2007,"Haldimand-Norfolk Health Unit, Ontario",24.6,15.6,24.6
2007,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",21.6,19.9,21.6
2007,"Halton Regional Health Unit, Ontario",26.3,12.2,26.3
2007,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",24,15.4,24
2007,"Hastings and Prince Edward Counties Health Unit, Ontario",23.1,17.3,23.1
2007,"Heartland Regional Health Authority, Saskatchewan",25.7,18.9,25.7
2007,"Huron County Health Unit, Ontario",25.2,17.6,25.2
2007,"Interlake-Eastern Regional Health Authority, Manitoba",27.1,14.5,27.1
2007,"Keewatin Yatthé Regional Health Authority, Saskatchewan",43.3,5.5,43.3
2007,"Kelsey Trail Regional Health Authority, Saskatchewan",26.4,19.7,26.4
2007,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",22.4,15.5,22.4
2007,"Kootenay-Boundary Health Service Delivery Area, British Columbia",21.4,17.3,21.4
2007,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",25.9,9,25.9
2007,"Lambton Health Unit, Ontario",23.6,16.7,23.6
2007,"Leeds, Grenville and Lanark District Health Unit, Ontario",23.2,16.8,23.2
2007,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",44.5,4.8,44.5
2007,"Mamawetan/Keewatin/Athabasca, Saskatchewan",44.1,5,44.1
2007,Manitoba,26.5,13.7,26.5
2007,"Middlesex-London Health Unit, Ontario",24.1,13.4,24.1
2007,"Mississauga Halton Health Integration Network, Ontario",26.4,10.3,26.4
2007,New Brunswick,22.2,14.8,22.2
2007,Newfoundland and Labrador,21.7,14,21.7
2007,"Niagara Regional Area Health Unit, Ontario",23,17,23
2007,"North Bay Parry Sound District Health Unit, Ontario",21.8,17.4,21.8
2007,"North East Health Integration Network, Ontario",22.7,16.2,22.7
2007,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",22.5,15.2,22.5
2007,"North Simcoe Muskoka Health Integration Network, Ontario",24.6,15,24.6
2007,"North Vancouver Island Health Service Delivery Area, British Columbia",23.1,15.6,23.1
2007,"North West Health Integration Network, Ontario",25.4,14,25.4
2007,"North Zone, Alberta",29.6,8.4,29.6
2007,"Northeast Health Service Delivery Area, British Columbia",28.9,8.1,28.9
2007,"Northern Interior Health Service Delivery Area, British Columbia",26.5,10.4,26.5
2007,"Northern Regional Health Authority, Manitoba",40,5.6,40
2007,"Northwest Health Service Delivery Area, British Columbia",28.7,10,28.7
2007,Northwest Territories,31.1,4.8,31.1
2007,"Northwestern Health Unit, Ontario",28.6,12.6,28.6
2007,Nova Scotia,22.3,15,22.3
2007,Nunavut,43.2,2.7,43.2
2007,"Okanagan Health Service Delivery Area, British Columbia",21.3,20.3,21.3
2007,Ontario by Health Unit,24.4,13.2,24.4
2007,Ontario by Local Health Integration Network,24.4,13.2,24.4
2007,"Oxford Elgin St. Thomas Health Unit, Ontario ",26.1,14.6,26.1
2007,"Peel Regional Health Unit, Ontario",27.8,8.9,27.8
