Year,GEO,RATE_Housing starts#Apartment and other unit types#Units#units #34100134_StatsCanada
1961,"Calgary, Alberta",1125
1961,Census metropolitan areas,31129
1961,"Edmonton, Alberta",1257
1961,"Halifax, Nova Scotia",365
1961,"Hamilton, Ontario",847
1961,"Kitchener-Cambridge-Waterloo, Ontario",0
1961,"London, Ontario",606
1961,"Montréal excluding Saint-Jérôme, Quebec",8354
1961,"Ottawa-Gatineau, Ontario/Quebec",1610
1961,"Québec, Quebec",841
1961,"Saint John, New Brunswick",51
1961,"St. John's, Newfoundland and Labrador",0
1961,"Toronto, Ontario",11563
1961,"Vancouver, British Columbia",2264
1961,"Victoria, British Columbia",541
1961,"Windsor, Ontario",148
1961,"Winnipeg, Manitoba",1557
1962,"Calgary, Alberta",1896
1962,Census metropolitan areas,36600
1962,"Edmonton, Alberta",1471
1962,"Greater Sudbury, Ontario",640
1962,"Halifax, Nova Scotia",702
1962,"Hamilton, Ontario",1285
1962,"Kitchener-Cambridge-Waterloo, Ontario",428
1962,"London, Ontario",1107
1962,"Montréal excluding Saint-Jérôme, Quebec",10986
1962,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2901
1962,"Ottawa-Gatineau, Ontario/Quebec",3084
1962,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",183
1962,"Québec, Quebec",1615
1962,"Saint John, New Brunswick",111
1962,"St. John's, Newfoundland and Labrador",0
1962,"Toronto, Ontario",8024
1962,"Vancouver, British Columbia",3581
1962,"Victoria, British Columbia",707
1962,"Windsor, Ontario",148
1962,"Winnipeg, Manitoba",815
1963,"Calgary, Alberta",1434
1963,Census metropolitan areas,52022
1963,"Edmonton, Alberta",1655
1963,"Greater Sudbury, Ontario",46
1963,"Halifax, Nova Scotia",728
1963,"Hamilton, Ontario",1773
1963,"Kitchener-Cambridge-Waterloo, Ontario",1348
1963,"London, Ontario",739
1963,"Montréal excluding Saint-Jérôme, Quebec",17943
1963,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",3860
1963,"Ottawa-Gatineau, Ontario/Quebec",4025
1963,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",165
1963,"Québec, Quebec",2287
1963,"Saint John, New Brunswick",94
1963,"St. John's, Newfoundland and Labrador",10
1963,"Toronto, Ontario",11636
1963,"Vancouver, British Columbia",5067
1963,"Victoria, British Columbia",800
1963,"Windsor, Ontario",323
1963,"Winnipeg, Manitoba",2114
1964,"Calgary, Alberta",1416
1964,Census metropolitan areas,63599
1964,"Edmonton, Alberta",1700
1964,"Greater Sudbury, Ontario",5
1964,"Halifax, Nova Scotia",950
1964,"Hamilton, Ontario",3428
1964,"Kitchener-Cambridge-Waterloo, Ontario",1818
1964,"London, Ontario",1231
1964,"Montréal excluding Saint-Jérôme, Quebec",18627
1964,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2733
1964,"Ottawa-Gatineau, Ontario/Quebec",2842
1964,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",109
1964,"Québec, Quebec",2187
1964,"Saint John, New Brunswick",443
1964,"St. John's, Newfoundland and Labrador",0
1964,"Toronto, Ontario",16700
1964,"Vancouver, British Columbia",8496
1964,"Victoria, British Columbia",1738
1964,"Windsor, Ontario",436
1964,"Winnipeg, Manitoba",1582
1965,"Brantford, Ontario",267
1965,"Calgary, Alberta",1477
1965,Census metropolitan areas,66378
1965,"Edmonton, Alberta",1645
1965,"Greater Sudbury, Ontario",30
1965,"Guelph, Ontario",287
1965,"Halifax, Nova Scotia",1070
1965,"Hamilton, Ontario",2297
1965,"Kingston, Ontario",613
1965,"Kitchener-Cambridge-Waterloo, Ontario",1504
1965,"London, Ontario",1094
1965,"Moncton, New Brunswick",193
1965,"Montréal excluding Saint-Jérôme, Quebec",21250
1965,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2246
1965,"Ottawa-Gatineau, Ontario/Quebec",2348
1965,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",102
1965,"Peterborough, Ontario",72
1965,"Québec, Quebec",1770
1965,"Saint John, New Brunswick",157
1965,"St. John's, Newfoundland and Labrador",4
1965,"Toronto, Ontario",21131
1965,"Vancouver, British Columbia",7586
