Year,GEO,RATE_Robbery [1610]#Cleared otherwise#Number#units #35100177_StatsCanada,"RATE_Sexual assault, level 1 [1330]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Possession of weapons [3375]#Total, youth not charged#Number#units #35100177_StatsCanada","RATE_Theft $5,000 or under from a motor vehicle [2142]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Other Controlled Drugs and Substances Act, importation and exportation [4330]#Cleared otherwise#Number#units #35100177_StatsCanada","RATE_Uttering threats [1627]#Total, youth not charged#Number#units #35100177_StatsCanada",RATE_Criminal harassment [1625]#Actual incidents#Number#units #35100177_StatsCanada,"RATE_Total, all Criminal Code violations (including traffic) [25]#Cleared otherwise#Number#units #35100177_StatsCanada"
1998,Alberta [48],79,1168,9,1224,8,93,1359,40523
1998,British Columbia [59],157,1847,60,1571,33,453,3509,72805
1998,"Calgary, Alberta [48825]",46,221,1,519,7,3,175,5549
1998,Canada,1428,10728,126,8026,241,1442,17835,339897
1998,"Edmonton, Alberta [48835]",10,319,4,328,1,32,219,7203
1998,"Greater Sudbury, Ontario [35580]",3,63,3,36,0,12,77,1172
1998,"Halifax, Nova Scotia [12205]",13,120,0,96,1,7,265,2731
1998,"Hamilton, Ontario [35537]",38,115,7,81,,80,347,7995
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",18,98,3,75,1,47,123,3101
1998,"London, Ontario [35555]",13,161,5,65,2,2,122,4303
1998,Manitoba [46],30,626,1,279,90,24,813,13112
1998,"Montréal, Quebec [24462]",541,447,3,759,1,140,1932,24205
1998,New Brunswick [13],17,346,0,191,1,36,694,11032
1998,Newfoundland and Labrador [10],1,223,0,76,0,18,319,5396
1998,Northwest Territories [61],6,214,0,5,1,5,126,5615
1998,Nova Scotia [12],15,383,0,217,93,18,869,11015
1998,Nunavut [62],,,,,0,,,
1998,Ontario [35],480,3893,43,2290,0,486,5823,105473
1998,"Ottawa-Gatineau, Ontario part [35505]",76,160,10,69,0,39,490,9107
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",85,267,10,138,97,50,645,10904
1998,"Ottawa-Gatineau, Quebec part [24505]",9,107,0,69,1,11,155,1797
1998,Prince Edward Island [11],3,65,0,35,0,4,119,2529
1998,Quebec [24],610,1347,12,1707,0,257,3194,51326
1998,"Québec, Quebec [24421]",19,153,0,170,0,40,108,4625
1998,"Regina, Saskatchewan [47705]",11,82,0,126,5,10,63,1132
1998,"Saguenay, Quebec [24408]",2,51,0,39,1,3,116,1503
1998,"Saint John, New Brunswick [13310]",0,98,0,15,0,5,171,1087
1998,Saskatchewan [47],29,583,1,423,0,44,946,19509
1998,"Saskatoon, Saskatchewan [47725]",5,56,0,71,40,5,186,1215
1998,"Sherbrooke, Quebec [24433]",0,11,0,34,,3,62,880
1998,"St. John's, Newfoundland and Labrador [10001]",1,51,0,37,27,3,78,1013
1998,"St.Catharines-Niagara, Ontario [35539]",12,165,3,119,0,37,110,4283
1998,"Thunder Bay, Ontario [35595]",1,61,0,35,22,19,143,2188
1998,"Toronto, Ontario [35535]",271,1034,9,665,1,113,2143,25095
1998,"Trois-Rivières, Quebec [24442]",4,18,0,65,18,5,36,1325
1998,"Vancouver, British Columbia [59933]",73,566,33,881,0,165,1378,20929
1998,"Victoria, British Columbia [59935]",29,138,6,113,6,44,308,6117
1998,"Windsor, Ontario [35559]",5,86,0,50,37,27,123,3004
1998,"Winnipeg, Manitoba [46602]",21,213,0,208,3,5,251,1725
1998,Yukon [60],1,33,0,8,546,4,64,1562
1999,Alberta [48],47,1070,35,838,2,390,1563,44575
1999,British Columbia [59],185,1771,134,1254,0,1108,3572,70915
1999,"Calgary, Alberta [48825]",27,222,18,238,5,64,148,6546
