Year,GEO,RATE_Chained (2012) dollars#Social assistance [624]#Dollars#millions#36100402_StatsCanada,RATE_Chained (2012) dollars#Community colleges and C.E.G.E.P.s [6112]#Dollars#millions#36100402_StatsCanada
1997,Alberta,790.6,618.5
1997,British Columbia,1492.8,736.2
1997,Manitoba,337.4,102.9
1997,New Brunswick,82.3,102.8
1997,Newfoundland and Labrador,105.4,186.3
1997,Northwest Territories,25.3,41.1
1997,Nova Scotia,139.3,104.5
1997,Nunavut,0,0
1997,Ontario,2656.2,1642.6
1997,Prince Edward Island,36.9,27.8
1997,Quebec,2625.1,2325.7
1997,Saskatchewan,249.7,186.5
1997,Yukon,19.4,22.7
1998,Alberta,812.4,730.4
1998,British Columbia,1455.3,863
1998,Manitoba,338.5,114
1998,New Brunswick,92.9,106.9
1998,Newfoundland and Labrador,94.6,170.7
1998,Northwest Territories,30.2,47.8
1998,Nova Scotia,147.7,108.2
1998,Nunavut,0,0
1998,Ontario,2556.9,1932.7
1998,Prince Edward Island,40.3,25.1
1998,Quebec,2630.5,2114.7
1998,Saskatchewan,289.6,218.8
1998,Yukon,25.2,25.2
1999,Alberta,749.8,743.2
1999,British Columbia,1294.4,780
1999,Manitoba,327.2,120
1999,New Brunswick,101.4,113.1
1999,Newfoundland and Labrador,81,172.9
1999,Northwest Territories,18,29
1999,Nova Scotia,161.1,112.2
1999,Nunavut,4.1,17.9
1999,Ontario,2759.9,1971.6
1999,Prince Edward Island,32.7,25.1
1999,Quebec,2463.6,2186.4
1999,Saskatchewan,236.8,202
1999,Yukon,21.5,24.8
2000,Alberta,890.7,760.6
2000,British Columbia,1494.6,721
2000,Manitoba,334.6,120.8
2000,New Brunswick,109,109.3
2000,Newfoundland and Labrador,93.4,167.3
2000,Northwest Territories,23.5,32.8
2000,Nova Scotia,176.6,111
2000,Nunavut,4.4,17.5
2000,Ontario,3129.7,2015
2000,Prince Edward Island,44.9,23.3
2000,Quebec,2549.7,2147.5
2000,Saskatchewan,264.4,205.9
2000,Yukon,27.6,23.5
2001,Alberta,903.8,733.1
2001,British Columbia,1360.6,715.9
2001,Manitoba,360.8,127.5
2001,New Brunswick,114.1,105.1
2001,Newfoundland and Labrador,95.3,162
2001,Northwest Territories,24,30.6
2001,Nova Scotia,177.6,111.1
2001,Nunavut,4.8,17.9
2001,Ontario,3278.9,1945.3
2001,Prince Edward Island,43.9,21.3
2001,Quebec,2424,2048
2001,Saskatchewan,263.6,206.5
2001,Yukon,30.1,21.8
2002,Alberta,946,796.9
2002,British Columbia,1429.8,738.6
2002,Manitoba,348.7,131.3
2002,New Brunswick,123.1,105.6
2002,Newfoundland and Labrador,98.8,164
2002,Northwest Territories,22.2,34.4
2002,Nova Scotia,200.1,113.9
2002,Nunavut,7,20.1
2002,Ontario,3436.3,2001.1
2002,Prince Edward Island,47.2,21.3
2002,Quebec,2406.7,2036.5
2002,Saskatchewan,248,199.9
2002,Yukon,34.3,23.5
2003,Alberta,975.8,840
2003,British Columbia,1467.8,762.9
2003,Manitoba,354.5,140.6
2003,New Brunswick,124.2,111.5
2003,Newfoundland and Labrador,104.1,171.2
2003,Northwest Territories,21.9,35.9
2003,Nova Scotia,210.5,117.7
2003,Nunavut,7.8,22.6
2003,Ontario,3651.5,2109.5
2003,Prince Edward Island,50.3,24.5
2003,Quebec,2525.3,2114.8
2003,Saskatchewan,264.4,210.2
2003,Yukon,33.5,24.6
2004,Alberta,1038.6,864.4
2004,British Columbia,1365.5,775.7
2004,Manitoba,372.5,144
2004,New Brunswick,130.7,109.8
2004,Newfoundland and Labrador,109.9,171.2
2004,Northwest Territories,24,35.3
2004,Nova Scotia,220.3,124.9
2004,Nunavut,11.1,23.4
2004,Ontario,3934.1,2117.6
2004,Prince Edward Island,53.9,25.6
2004,Quebec,2657.9,2092.4
2004,Saskatchewan,275.8,218.3
2004,Yukon,38.9,25.2
2005,Alberta,1116.2,880.6
2005,British Columbia,1362.6,805.5
2005,Manitoba,374.3,145.8
2005,New Brunswick,137.1,111.4
2005,Newfoundland and Labrador,112.2,167.4
2005,Northwest Territories,27.7,34.3
2005,Nova Scotia,230.6,142.5
2005,Nunavut,12.7,20.7
2005,Ontario,4247.7,2173.2
2005,Prince Edward Island,66,25.1
2005,Quebec,2841.2,2053.2
2005,Saskatchewan,289.4,227.4
2005,Yukon,40,25
2006,Alberta,1128.1,918.3
2006,British Columbia,1459,863.4
2006,Manitoba,392.1,150.4
2006,New Brunswick,141.2,111.9
2006,Newfoundland and Labrador,111.3,179.7
2006,Northwest Territories,24.5,34.7
2006,Nova Scotia,237,139.9
2006,Nunavut,15.7,22.3
2006,Ontario,4417.7,2315.6
2006,Prince Edward Island,68.7,25.7
2006,Quebec,2952.2,2091.9
2006,Saskatchewan,261.6,235.5
2006,Yukon,40.2,25.4
2007,Alberta,1134.4,976.2
2007,British Columbia,1355.5,906.8
2007,Manitoba,416.9,158.5
2007,New Brunswick,153.2,109.2
2007,Newfoundland and Labrador,110.9,185
2007,Northwest Territories,27.2,34.7
2007,Nova Scotia,248.2,147.3
2007,Nunavut,21.9,22.6
2007,Ontario,4587.7,2419.7
2007,Prince Edward Island,60.1,24.9
2007,Quebec,3235.1,2135.7
2007,Saskatchewan,262.5,245.1
2007,Yukon,40.2,25.1
2008,Alberta,1168.1,1006.8
2008,British Columbia,1389,920.1
2008,Manitoba,443.5,164.1
2008,New Brunswick,155,110.9
2008,Newfoundland and Labrador,120.7,190.9
2008,Northwest Territories,28.5,34.3
2008,Nova Scotia,251.8,151.5
2008,Nunavut,23.2,23.5
2008,Ontario,4754.3,2507.4
2008,Prince Edward Island,61.6,26.3
2008,Quebec,3340.5,2215.3
2008,Saskatchewan,283.4,253.8
2008,Yukon,41.8,24.3
2009,Alberta,1201.2,1029.5
2009,British Columbia,1462.3,931.2
2009,Manitoba,439.3,169.9
2009,New Brunswick,156.3,114.4
2009,Newfoundland and Labrador,131.3,195.1
2009,Northwest Territories,30.7,37
2009,Nova Scotia,250,155.4
2009,Nunavut,25.5,24.8
2009,Ontario,4873.3,2603.7
2009,Prince Edward Island,61.9,27.7
2009,Quebec,3479.4,2315
2009,Saskatchewan,328,259
2009,Yukon,43.2,26.2
2010,Alberta,1222,1055.4
2010,British Columbia,1422.6,967.9
2010,Manitoba,433.3,175.8
2010,New Brunswick,163.2,117.7
2010,Newfoundland and Labrador,135.7,192.7
2010,Northwest Territories,31.6,39
2010,Nova Scotia,254.1,157.4
2010,Nunavut,26.7,25.4
2010,Ontario,4967.3,2729.5
2010,Prince Edward Island,65,30.1
2010,Quebec,3599.5,2346.6
2010,Saskatchewan,336.8,261.1
2010,Yukon,43.8,27.8
2011,Alberta,1271.1,1110.6
2011,British Columbia,1425,1036.1
2011,Manitoba,444.8,184.1
2011,New Brunswick,163.8,122.7
2011,Newfoundland and Labrador,144.2,195.5
2011,Northwest Territories,29.5,39.7
2011,Nova Scotia,249.3,160.4
2011,Nunavut,28.7,26.2
2011,Ontario,5062,2669.9
2011,Prince Edward Island,64.6,32.3
2011,Quebec,3509.9,2421.1
2011,Saskatchewan,335,271
2011,Yukon,41.9,28.9
2012,Alberta,1264.6,1139
2012,British Columbia,1394.7,1094.3
2012,Manitoba,461.2,189.2
2012,New Brunswick,158.9,124.4
2012,Newfoundland and Labrador,146.2,195.3
2012,Northwest Territories,27.9,40.4
2012,Nova Scotia,236,161.9
2012,Nunavut,29.8,27.5
2012,Ontario,4853.3,2784.1
2012,Prince Edward Island,64.5,32.3
2012,Quebec,3471.2,2234
2012,Saskatchewan,333.7,278.7
2012,Yukon,42.2,30
2013,Alberta,1333.5,1080.7
2013,British Columbia,1406.9,1044.4
