Feature Code,Orginal Feature Name,StatsCanadaProductID,cubeTitleEn,url,Spurrious correlation?,Potential value to end user?,Recommendations/Notes
suicide_cma_feature_0,RATE_Housing starts#Row units#Units#units #34100134_StatsCanada,34100134.0,"Canada Mortgage and Housing Corporation, housing starts, under construction and completions in selected census metropolitan areas, annual",https://www150.statcan.gc.ca/n1/tbl/csv/34100134-eng.zip,,,
suicide_cma_feature_1,2008 base#2018 constant dollars#Shelter#2018 constant dollars#units#11100066_StatsCanada,11100066.0,"Market Basket Measure (MBM) thresholds for the reference family by Market Basket Measure region, component and base year",https://www150.statcan.gc.ca/n1/tbl/csv/11100066-eng.zip,,,
suicide_cma_feature_2,"RATE_Possession of weapons [3375]#Total, youth not charged#Number#units #35100177_StatsCanada",35100177.0,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
suicide_cma_feature_3,RATE_Robbery [1610]#Cleared otherwise#Number#units #35100177_StatsCanada,35100177.0,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
suicide_cma_feature_4,RATE_Health care and social assistance [62]#Persons#thousands#14100098_StatsCanada,14100098.0,"Employment by industry, annual, census metropolitan areas",https://www150.statcan.gc.ca/n1/tbl/csv/14100098-eng.zip,,,
suicide_cma_feature_5,"RATE_Robbery [1610]#Total, youth not charged#Number#units #35100177_StatsCanada",35100177.0,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
suicide_cma_feature_6,RATE_Breach of probation [3520]#Cleared otherwise#Number#units #35100177_StatsCanada,35100177.0,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
suicide_cma_feature_7,RATE_Full-time employment#Males#25 to 54 years#Persons#thousands#14100096_StatsCanada,14100096.0,"Labour force characteristics by census metropolitan area, annual",https://www150.statcan.gc.ca/n1/tbl/csv/14100096-eng.zip,,,
suicide_cma_feature_8,"RATE_Theft $5,000 or under from a motor vehicle [2142]#Cleared by charge#Number#units #35100177_StatsCanada",35100177.0,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
suicide_cma_feature_9,RATE_Operation while impaired causing bodily harm (alcohol) [9220]#Actual incidents#Number#units #35100177_StatsCanada,35100177.0,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
suicide_csd_feature_0,schools in _google,,,,,,
suicide_csd_feature_1, health services_google,,,,,,
suicide_csd_feature_2,mental health _google,,,,,,
suicide_csd_feature_3,Year,,,,,,
suicide_economic_feature_0,"RATE_Information, culture and recreation [51, 71]#Persons#thousands#14100092_StatsCanada",14100092.0,"Employment by industry, annual, provinces and economic regions",https://www150.statcan.gc.ca/n1/tbl/csv/14100092-eng.zip,,,
suicide_economic_feature_1,"RATE_Supervisors and technical occupations in natural resources, agriculture and related production [82]#Persons#thousands#14100312_StatsCanada",14100312.0,"Employment by economic regions and occupation, annual",https://www150.statcan.gc.ca/n1/tbl/csv/14100312-eng.zip,,,
suicide_economic_feature_2,"RATE_Business, building and other support services [55-56]#Persons#thousands#14100092_StatsCanada",14100092.0,"Employment by industry, annual, provinces and economic regions",https://www150.statcan.gc.ca/n1/tbl/csv/14100092-eng.zip,,,
suicide_economic_feature_3,"RATE_Workers in natural resources, agriculture and related production [84]#Persons#thousands#14100312_StatsCanada",14100312.0,"Employment by economic regions and occupation, annual",https://www150.statcan.gc.ca/n1/tbl/csv/14100312-eng.zip,,,
suicide_economic_feature_4,RATE_Retail sales supervisors and specialized sales occupations [62]#Persons#thousands#14100312_StatsCanada,14100312.0,"Employment by economic regions and occupation, annual",https://www150.statcan.gc.ca/n1/tbl/csv/14100312-eng.zip,,,
suicide_economic_feature_5,"RATE_Finance, insurance, real estate, rental and leasing [52-53]#Persons#thousands#14100092_StatsCanada",14100092.0,"Employment by industry, annual, provinces and economic regions",https://www150.statcan.gc.ca/n1/tbl/csv/14100092-eng.zip,,,
suicide_economic_feature_6,RATE_Transportation and warehousing [48-49]#Persons#thousands#14100092_StatsCanada,14100092.0,"Employment by industry, annual, provinces and economic regions",https://www150.statcan.gc.ca/n1/tbl/csv/14100092-eng.zip,,,
suicide_economic_feature_7,"RATE_Professional, scientific and technical services [54]#Persons#thousands#14100092_StatsCanada",14100092.0,"Employment by industry, annual, provinces and economic regions",https://www150.statcan.gc.ca/n1/tbl/csv/14100092-eng.zip,,,
suicide_economic_feature_8,RATE_Utilities [22]#Persons#thousands#14100092_StatsCanada,14100092.0,"Employment by industry, annual, provinces and economic regions",https://www150.statcan.gc.ca/n1/tbl/csv/14100092-eng.zip,,,
suicide_economic_feature_9,RATE_Specialized middle management occupations [01-05]#Persons#thousands#14100312_StatsCanada,14100312.0,"Employment by economic regions and occupation, annual",https://www150.statcan.gc.ca/n1/tbl/csv/14100312-eng.zip,,,
suicide_health_feature_0,"RATE_Seniors, 65 years and over, as a proportion of total population#Percent#units#17100133_StatsCanada",17100133.0,"Dependency ratio (2016 Census and administrative data), by age group and sex for July 1st, Canada, provinces, territories, health regions (2018 boundaries) and peer groups",https://www150.statcan.gc.ca/n1/tbl/csv/17100133-eng.zip,,,
suicide_health_feature_1,"RATE_Total, all ages#Females#Number#units#17100134_StatsCanada",17100134.0,"Estimates of population (2016 Census and administrative data), by age group and sex for July 1st, Canada, provinces, territories, health regions (2018 boundaries) and peer groups",https://www150.statcan.gc.ca/n1/tbl/csv/17100134-eng.zip,,,
suicide_health_feature_2,"RATE_Total, all ages#Males#Number#units#17100134_StatsCanada",17100134.0,"Estimates of population (2016 Census and administrative data), by age group and sex for July 1st, Canada, provinces, territories, health regions (2018 boundaries) and peer groups",https://www150.statcan.gc.ca/n1/tbl/csv/17100134-eng.zip,,,
suicide_province_feature_0,RATE_35 to 44 years#Females#Social assistance#Aggregate income#2018 constant dollars#millions#11100239_StatsCanada,11100239.0,"Income of individuals by age group, sex and income source, Canada, provinces and selected census metropolitan areas",https://www150.statcan.gc.ca/n1/tbl/csv/11100239-eng.zip,,,
suicide_province_feature_1,RATE_45 to 54 years#Females#Self-employment income#Aggregate income#2018 constant dollars#millions#11100239_StatsCanada,11100239.0,"Income of individuals by age group, sex and income source, Canada, provinces and selected census metropolitan areas",https://www150.statcan.gc.ca/n1/tbl/csv/11100239-eng.zip,,,
suicide_province_feature_2,RATE_Chained (2012) dollars#Activities related to credit intermediation [5223]#Dollars#millions#36100402_StatsCanada,36100402.0,"Gross domestic product (GDP) at basic prices, by industry, provinces and territories",https://www150.statcan.gc.ca/n1/tbl/csv/36100402-eng.zip,,,
suicide_province_feature_3,RATE_Chained (2012) dollars#Motor vehicle transmission and power train parts manufacturing [33635]#Dollars#millions#36100402_StatsCanada,36100402.0,"Gross domestic product (GDP) at basic prices, by industry, provinces and territories",https://www150.statcan.gc.ca/n1/tbl/csv/36100402-eng.zip,,,
suicide_province_feature_4,RATE_Chained (2012) dollars#Local credit unions [52213]#Dollars#millions#36100402_StatsCanada,36100402.0,"Gross domestic product (GDP) at basic prices, by industry, provinces and territories",https://www150.statcan.gc.ca/n1/tbl/csv/36100402-eng.zip,,,
suicide_province_feature_5,RATE_Chained (2012) dollars#Motor vehicle electrical and electronic equipment manufacturing [33632]#Dollars#millions#36100402_StatsCanada,36100402.0,"Gross domestic product (GDP) at basic prices, by industry, provinces and territories",https://www150.statcan.gc.ca/n1/tbl/csv/36100402-eng.zip,,,
suicide_province_feature_6,"16 to 24 years#Males#Wages, salaries and commissions#Median income (excluding zeros)#2018 constant dollars#units#11100239_StatsCanada",11100239.0,"Income of individuals by age group, sex and income source, Canada, provinces and selected census metropolitan areas",https://www150.statcan.gc.ca/n1/tbl/csv/11100239-eng.zip,,,
suicide_province_feature_7,RATE_65 years and over#Females#Other income#Aggregate income#2018 constant dollars#millions#11100239_StatsCanada,11100239.0,"Income of individuals by age group, sex and income source, Canada, provinces and selected census metropolitan areas",https://www150.statcan.gc.ca/n1/tbl/csv/11100239-eng.zip,,,
suicide_province_feature_8,"RATE_Chained (2012) dollars#Other professional, scientific and technical services [5419]#Dollars#millions#36100402_StatsCanada",36100402.0,"Gross domestic product (GDP) at basic prices, by industry, provinces and territories",https://www150.statcan.gc.ca/n1/tbl/csv/36100402-eng.zip,,,
suicide_province_feature_9,RATE_Chained (2012) dollars#Motor vehicle metal stamping [33637]#Dollars#millions#36100402_StatsCanada,36100402.0,"Gross domestic product (GDP) at basic prices, by industry, provinces and territories",https://www150.statcan.gc.ca/n1/tbl/csv/36100402-eng.zip,,,
