Feature Code,Orginal Feature Name,StatsCanadaProductID,cubeTitleEn,url,Spurrious correlation?,Potential value to end user?,Recommendations/Notes
violence_cma_feature_0,RATE_Weighted clearance rate#Number#units #35100026_StatsCanada,35100026,"Crime severity index and weighted clearance rates, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100026-eng.zip,,,
violence_cma_feature_1,"RATE_Uttering threats [1627]#Total, youth not charged#Number#units #35100177_StatsCanada",35100177,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
violence_cma_feature_2,"RATE_Care providers and educational, legal and public protection support occupations [44]#Persons#thousands#14100314_StatsCanada",14100314,"Employment by census metropolitan areas and occupation, annual",https://www150.statcan.gc.ca/n1/tbl/csv/14100314-eng.zip,,,
violence_cma_feature_3,RATE_Criminal harassment [1625]#Actual incidents#Number#units #35100177_StatsCanada,35100177,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
violence_cma_feature_4,"RATE_Breaking and entering [2120]#Total, persons charged#Number#units #35100177_StatsCanada",35100177,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
violence_cma_feature_5,"RATE_Assault, level 1 [1430]#Total, persons charged#Number#units #35100177_StatsCanada",35100177,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
violence_cma_feature_6,"RATE_Total, all Criminal Code violations (including traffic) [25]#Cleared otherwise#Number#units #35100177_StatsCanada",35100177,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
violence_cma_feature_7,"RATE_Sexual assault, level 1 [1330]#Cleared by charge#Number#units #35100177_StatsCanada",35100177,"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",https://www150.statcan.gc.ca/n1/tbl/csv/35100177-eng.zip,,,
violence_csd_feature_0, health services_google,,,,,,
violence_csd_feature_1,mental health _google,,,,,,
