Year,Province,Community,violence_rate,nat_avg
2008,British Columbia,Abbotsford,1188,1357.159959
2008,Ontario,Guelph,724,1357.159959
2008,New Brunswick,Saint John,2271,1357.159959
2008,Saskatchewan,Saskatoon,2002,1357.159959
2008,Ontario,Greater Sudbury,1087,1357.159959
2008,Quebec,Sherbrooke,779,1357.159959
2008,Alberta,Grande Prairie,1866,1357.159959
2008,Prince Edward Island,Summerside,1185,1357.159959
2008,New Brunswick,Fredericton,1126,1357.159959
2008,Manitoba,Thompson,6168,1357.159959
2008,Alberta,Edmonton,1143,1357.159959
2008,Ontario,Thunder Bay,1797,1357.159959
2008,Ontario,Toronto,1217,1357.159959
2008,British Columbia,Chilliwack,1200,1357.159959
2008,Quebec,Trois-Rivieres,730,1357.159959
2008,Prince Edward Island,Charlottetown,1295,1357.159959
2008,Quebec,Saguenay,1023,1357.159959
2008,Nova Scotia,Halifax,1993,1357.159959
2008,British Columbia,Richmond,694,1357.159959
2008,Ontario,Hamilton,1138,1357.159959
2008,Alberta,Medicine Hat,1084,1357.159959
2008,New Brunswick,Moncton,,1357.159959
2008,Ontario,London,996,1357.159959
2008,Quebec,Montreal,1291,1357.159959
2008,British Columbia,New Westminster,1493,1357.159959
2008,Alberta,Lethbridge,1548,1357.159959
2008,Ontario,North Bay,1025,1357.159959
2008,British Columbia,Vancouver,1440,1357.159959
2008,Ontario,Kingston,1240,1357.159959
2008,British Columbia,Kelowna,,1357.159959
2008,Saskatchewan,Prince Albert,2391,1357.159959
2008,Nunavut,Iqaluit,17371,1357.159959
2008,Quebec,Quebec,473,1357.159959
2008,Alberta,Red Deer,1621,1357.159959
2008,British Columbia,Hope,2373,1357.159959
2008,Saskatchewan,Regina,1827,1357.159959
2008,Ontario,Ottawa,669,1357.159959
2008,Alberta,Calgary,740,1357.159959
2008,British Columbia,Mission,1606,1357.159959
2008,Ontario,Barrie,878,1357.159959
2008,Ontario,Brantford,1654,1357.159959
2008,Yukon,Whitehorse,2640,1357.159959
2008,Nova Scotia,Windsor,925.3,1357.159959
2008,British Columbia,Burnaby,1174,1357.159959
2008,Manitoba,Winnipeg,"1,438.10",1357.159959
2008,British Columbia,Victoria,1622,1357.159959
2008,Northwest Territories,Yellowknife,4553,1357.159959
2008,Manitoba,Brandon,1322,1357.159959
2008,Ontario,Windsor,"1,265.00",1357.159959
2009,Alberta,Grande Prairie,2151,1450
2009,Quebec,Sherbrooke,829,1450
2009,Ontario,Brantford,1711,1450
2009,Ontario,Barrie,917,1450
2009,British Columbia,Mission,1814,1450
2009,Saskatchewan,Saskatoon,1928,1450
2009,Ontario,Ottawa,671,1450
2009,Ontario,Greater Sudbury,1108,1450
2009,British Columbia,Kelowna,1978,1450
2009,Prince Edward Island,Summerside,2129,1450
2009,New Brunswick,Saint John,2479,1450
2009,Saskatchewan,Prince Albert,3250,1450
2009,Ontario,Guelph,780,1450
2009,Nunavut,Iqaluit,14286,1450
2009,Quebec,Saguenay,992,1450
2009,Manitoba,Winnipeg,"1,566.70",1450
2009,Nova Scotia,Windsor,760.9,1450
2009,Quebec,Quebec,966,1450
2009,British Columbia,Richmond,832,1450
2009,British Columbia,Hope,2785,1450
2009,Manitoba,Brandon,1478,1450
2009,Ontario,Hamilton,1206,1450
2009,Saskatchewan,Regina,1801,1450
2009,Ontario,Windsor,"1,376.80",1450
2009,Ontario,Kingston,1284,1450
2009,Nova Scotia,Halifax,2035,1450
2009,New Brunswick,Fredericton,1365,1450
2009,British Columbia,Victoria,1789,1450
2009,Alberta,Calgary,763,1450
2009,Alberta,Medicine Hat,1302,1450
2009,British Columbia,Vancouver,1425,1450
2009,British Columbia,Abbotsford,1295,1450
2009,New Brunswick,Moncton,,1450
2009,Prince Edward Island,Charlottetown,1366,1450
2009,Quebec,Trois-Rivieres,758,1450
2009,Ontario,London,1006,1450
2009,Ontario,Toronto,1184,1450
2009,British Columbia,Burnaby,1201,1450
2009,British Columbia,Chilliwack,1358,1450
2009,Quebec,Montreal,1248,1450
2009,Alberta,Red Deer,2231,1450
2009,Northwest Territories,Yellowknife,4657,1450
2009,Ontario,Thunder Bay,1854,1450
2009,Ontario,North Bay,861,1450
2009,Yukon,Whitehorse,2854,1450
2009,British Columbia,New Westminster,1380,1450
2009,Alberta,Edmonton,1174,1450
2009,Manitoba,Thompson,6139,1450
2009,Alberta,Lethbridge,1860,1450
2010,British Columbia,Kelowna,1718,1493.7
2010,Nova Scotia,Windsor,"1,143.60",1493.7
2010,British Columbia,New Westminster,1537,1493.7
2010,Alberta,Medicine Hat,1199,1493.7
2010,British Columbia,Hope,2332,1493.7
2010,Quebec,Quebec,960,1493.7
2010,Ontario,North Bay,949,1493.7
2010,British Columbia,Mission,1823,1493.7
2010,Alberta,Lethbridge,1605,1493.7
2010,Quebec,Montreal,1202,1493.7
2010,New Brunswick,Moncton,,1493.7
2010,Ontario,London,1028,1493.7
2010,Nunavut,Iqaluit,15312,1493.7
2010,Saskatchewan,Prince Albert,3238,1493.7
2010,Ontario,Kingston,1228,1493.7
2010,Manitoba,Winnipeg,"1,499.60",1493.7
2010,Ontario,Ottawa,618,1493.7
2010,Ontario,Barrie,911,1493.7
2010,British Columbia,Abbotsford,1209,1493.7
2010,Northwest Territories,Yellowknife,4949,1493.7
2010,Saskatchewan,Saskatoon,1864,1493.7
2010,Prince Edward Island,Summerside,2280,1493.7
2010,Yukon,Whitehorse,3280,1493.7
2010,Ontario,Thunder Bay,1898,1493.7
